date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,14.0,0.0,93.15106383,,,10.522262697,1813.09358419,6.0,0.0,3.0,0.0,5.0,0.0
1987-01-02,10.0,2.0,,93.15106383,,18.338841563,949.57951627,3.0,0.0,3.0,1.0,4.0,1.0
1987-01-03,13.0,2.0,109.15106383,,,9.713841567000001,2604.76025087,0.0,0.0,6.0,0.0,7.0,2.0
1987-01-04,6.0,1.0,,109.15106383,,10.376429357000001,2563.09358417,0.0,0.0,4.0,1.0,2.0,0.0
1987-01-05,8.0,1.0,45.15106383,,,10.313929357000001,2104.76025087,3.0,0.0,2.0,0.0,3.0,1.0
1987-01-06,7.0,0.0,,45.15106383,,14.626429357000001,1366.24618294,2.0,0.0,2.0,0.0,3.0,0.0
1987-01-07,10.0,1.0,27.15106383,,,12.943008227,1491.24618294,4.0,0.0,3.0,0.0,3.0,1.0
1987-01-08,9.0,1.0,,27.15106383,,15.185462817000001,979.7602508606,2.0,0.0,6.0,1.0,1.0,0.0
1987-01-09,7.0,2.0,42.1510638298,,,18.605596027,824.57951627,2.0,0.0,1.0,0.0,4.0,2.0
1987-01-10,9.0,0.0,,42.1510638298,,15.276341567000001,1032.912849608,1.0,0.0,1.0,0.0,7.0,0.0
1987-01-11,14.0,2.0,36.1510638298,,,13.543708347,1074.57951627,6.0,0.0,2.0,1.0,6.0,1.0
1987-01-12,4.0,0.0,,36.1510638298,,14.295133217,3229.76025087,2.0,0.0,1.0,0.0,1.0,0.0
1987-01-13,8.0,2.0,,,,10.126429357000001,2729.76025087,2.0,1.0,3.0,0.0,3.0,1.0
1987-01-14,11.0,3.0,,,,9.745994577000001,4771.42691757,5.0,1.0,3.0,1.0,3.0,1.0
1987-01-15,12.0,1.0,35.1510638298,,,18.127532039000002,813.09358417,5.0,0.0,3.0,0.0,4.0,1.0
1987-01-16,9.0,2.0,,35.1510638298,,16.631933097,563.09358417,1.0,0.0,3.0,0.0,5.0,2.0
1987-01-17,11.0,0.0,,,,15.590266427000001,782.91284957,3.0,0.0,6.0,0.0,2.0,0.0
1987-01-18,14.0,4.0,,,,16.048599757,1471.47256617,6.0,1.0,3.0,2.0,5.0,1.0
