date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,21.0,1.0,,,,,663.66015903,8.0,0.0,5.0,0.0,8.0,1.0
1987-01-02,21.0,3.0,,,,,685.39928943,3.0,1.0,5.0,0.0,13.0,2.0
1987-01-03,24.0,2.0,35.486833855,,,,822.67293483,10.0,1.0,3.0,1.0,11.0,0.0
1987-01-04,32.0,5.0,,35.486833855,,,650.92182023,15.0,4.0,3.0,0.0,14.0,1.0
1987-01-05,21.0,3.0,,,,,1784.25515361,10.0,1.0,2.0,1.0,9.0,1.0
1987-01-06,22.0,0.0,,,,,1509.25515361,7.0,0.0,5.0,0.0,10.0,0.0
1987-01-07,22.0,4.0,,,,,1052.42827497,9.0,0.0,4.0,1.0,9.0,3.0
1987-01-08,17.0,1.0,,,,,1071.44967088,8.0,0.0,2.0,0.0,7.0,1.0
1987-01-09,23.0,2.0,64.486833855,,,,1092.82682569,5.0,0.0,10.0,1.0,8.0,1.0
1987-01-10,24.0,2.0,,64.486833855,,,536.16331963,9.0,0.0,4.0,1.0,11.0,1.0
1987-01-11,18.0,0.0,,,,,453.33372883,5.0,0.0,5.0,0.0,8.0,0.0
1987-01-12,26.0,3.0,,,,,795.00039553,11.0,0.0,4.0,1.0,11.0,2.0
1987-01-13,16.0,2.0,,,,,2106.27379543,4.0,0.0,6.0,1.0,6.0,1.0
1987-01-14,27.0,3.0,,,,,3486.16331963,10.0,0.0,3.0,1.0,14.0,2.0
1987-01-15,21.0,2.0,40.4868338555,,,,1746.85172538,6.0,1.0,6.0,0.0,9.0,1.0
1987-01-16,31.0,5.0,,40.4868338555,,,996.57998625,13.0,1.0,11.0,4.0,7.0,0.0
1987-01-17,24.0,3.0,,,,,663.66015903,11.0,2.0,7.0,1.0,6.0,0.0
1987-01-18,18.0,4.0,,,,,667.82682573,3.0,0.0,5.0,1.0,10.0,3.0
1987-01-19,31.0,1.0,,,,,682.23499163,13.0,0.0,8.0,1.0,10.0,0.0
1987-01-20,17.0,1.0,,,,,724.16706223,4.0,0.0,5.0,0.0,8.0,1.0
1987-01-21,25.0,1.0,28.486833855,,,,1220.59184396,8.0,0.0,9.0,0.0,8.0,1.0
1987-01-22,28.0,4.0,,28.486833855,,,534.07998623,7.0,0.0,7.0,1.0,14.0,3.0
1987-01-23,28.0,2.0,,,,,951.160159023,9.0,1.0,6.0,0.0,13.0,1.0
1987-01-24,25.0,3.0,,,,,852.46766741,6.0,0.0,4.0,2.0,15.0,1.0
1987-01-25,29.0,3.0,,,,,663.66015903,11.0,1.0,7.0,1.0,11.0,1.0
1987-01-26,22.0,3.0,,,,,667.82682573,6.0,1.0,7.0,1.0,9.0,1.0
1987-01-27,18.0,3.0,32.486833855,,,,969.0908087610001,7.0,1.0,3.0,1.0,8.0,1.0
1987-01-28,26.0,4.0,,32.486833855,,,1507.41015902,5.0,1.0,5.0,1.0,16.0,2.0
1987-01-29,19.0,3.0,,,,,2223.90165833,3.0,1.0,5.0,0.0,11.0,2.0
1987-01-30,20.0,0.0,,,,,667.82682573,8.0,0.0,7.0,0.0,5.0,0.0
1987-01-31,24.0,0.0,,,,,678.24349233,6.0,0.0,5.0,0.0,13.0,0.0
1987-02-01,17.0,0.0,,,,,1049.07682569,7.0,0.0,4.0,0.0,6.0,0.0
1987-02-02,27.0,1.0,14.48683386,,,,761.66706223,11.0,0.0,7.0,0.0,9.0,1.0
1987-02-03,23.0,0.0,,14.48683386,,,726.16015903,7.0,0.0,9.0,0.0,7.0,0.0
1987-02-04,23.0,0.0,,,,,1041.87985599,7.0,0.0,7.0,0.0,9.0,0.0
1987-02-05,12.0,0.0,,,,,663.66015903,6.0,0.0,1.0,0.0,5.0,0.0
1987-02-06,27.0,1.0,,,,,663.66015903,9.0,1.0,9.0,0.0,9.0,0.0
1987-02-07,24.0,2.0,,,,,667.82682573,5.0,1.0,10.0,0.0,9.0,1.0
1987-02-08,23.0,1.0,10.48683386,,,,453.33372883,6.0,0.0,2.0,0.0,15.0,1.0
1987-02-09,29.0,0.0,,10.48683386,,,667.82682573,11.0,0.0,6.0,0.0,12.0,0.0
1987-02-10,30.0,3.0,,,,,1428.38267366,10.0,1.0,6.0,0.0,14.0,2.0
1987-02-11,27.0,5.0,,,,,1449.07682569,6.0,0.0,9.0,1.0,12.0,4.0
1987-02-12,16.0,3.0,,,,,667.82682573,5.0,0.0,5.0,1.0,6.0,2.0
1987-02-13,22.0,2.0,,,,,937.177140061,7.0,2.0,8.0,0.0,7.0,0.0
1987-02-14,19.0,1.0,96.486833855,,,,1710.76725714,7.0,1.0,5.0,0.0,7.0,0.0
1987-02-15,22.0,1.0,,96.486833855,,,799.07682573,8.0,0.0,5.0,0.0,9.0,1.0
1987-02-16,23.0,,,,,,628.33372883,7.0,0.0,5.0,,11.0,1.0
1987-02-17,29.0,4.0,,,,,663.66015903,5.0,0.0,6.0,2.0,18.0,2.0
1987-02-18,27.0,1.0,,,,,932.5003955167,14.0,0.0,4.0,0.0,9.0,1.0
1987-02-19,15.0,0.0,,,,,667.82682573,4.0,0.0,2.0,0.0,9.0,0.0
1987-02-20,25.0,3.0,23.48683386,,,,667.82682573,3.0,1.0,8.0,0.0,14.0,2.0
1987-02-21,25.0,1.0,,23.48683386,,,663.66015903,10.0,0.0,5.0,1.0,10.0,0.0
1987-02-22,20.0,1.0,,,,,663.66015903,6.0,1.0,6.0,0.0,8.0,0.0
1987-02-23,17.0,1.0,,,,,711.38743173,4.0,0.0,4.0,1.0,9.0,0.0
1987-02-24,24.0,2.0,,,,,685.39928943,7.0,0.0,10.0,1.0,7.0,1.0
1987-02-25,19.0,1.0,,,,,663.66015903,4.0,0.0,6.0,0.0,9.0,1.0
1987-02-26,26.0,2.0,11.48683386,,,,663.66015903,8.0,0.0,6.0,0.0,12.0,2.0
1987-02-27,18.0,2.0,,11.48683386,,,663.66015903,9.0,0.0,2.0,0.0,7.0,2.0
1987-02-28,28.0,0.0,,,,,640.83372883,7.0,0.0,7.0,0.0,14.0,0.0
1987-03-01,21.0,3.0,,,,21.046333165,467.91706223,5.0,0.0,4.0,1.0,12.0,2.0
1987-03-02,28.0,1.0,,,,19.129666499000002,671.99349233,12.0,1.0,4.0,0.0,12.0,0.0
1987-03-03,20.0,0.0,,,,14.40321722,1113.75039552,3.0,0.0,5.0,0.0,12.0,0.0
1987-03-04,27.0,2.0,26.48683386,,,15.890631411,713.98873423,6.0,2.0,3.0,0.0,18.0,0.0
1987-03-05,18.0,1.0,,26.48683386,,21.643637596999998,663.66015903,5.0,0.0,5.0,0.0,8.0,1.0
1987-03-06,28.0,4.0,,,,24.610123105,663.66015903,14.0,3.0,3.0,0.0,11.0,1.0
1987-03-07,16.0,1.0,,,,30.564833249499998,497.08372883,2.0,0.0,4.0,0.0,10.0,1.0
1987-03-08,13.0,0.0,,,,26.7224419451,501.25039553,4.0,0.0,1.0,0.0,8.0,0.0
1987-03-09,22.0,3.0,,,,20.368275278,745.23873423,10.0,0.0,3.0,0.0,9.0,3.0
1987-03-10,20.0,0.0,18.48683386,,,13.48917535,853.36594404,8.0,0.0,5.0,0.0,7.0,0.0
1987-03-11,32.0,1.0,,18.48683386,,19.307586872999998,663.66015903,14.0,1.0,8.0,0.0,10.0,0.0
1987-03-12,19.0,1.0,,,,12.49212245,745.61752213,6.0,0.0,5.0,1.0,8.0,0.0
1987-03-13,22.0,4.0,,,,15.648166583,880.41706218,10.0,0.0,5.0,0.0,7.0,4.0
1987-03-14,23.0,1.0,,,,24.85831151,951.250395517,9.0,0.0,4.0,0.0,10.0,1.0
1987-03-15,28.0,,,,,23.665376728000002,1109.07998625,6.0,1.0,6.0,1.0,16.0,
1987-03-16,25.0,0.0,41.4868338555,,,23.769543394,1013.484991664,10.0,0.0,5.0,0.0,10.0,0.0
1987-03-17,28.0,0.0,,41.4868338555,,40.692550641,707.41015903,12.0,0.0,1.0,0.0,15.0,0.0
1987-03-18,24.0,1.0,,,,28.231499916199997,671.99349233,5.0,1.0,5.0,0.0,14.0,0.0
1987-03-19,23.0,2.0,,,,15.35649992,970.872792235,11.0,1.0,5.0,0.0,7.0,1.0
1987-03-20,21.0,0.0,,,,13.82809083,1210.65540093,8.0,0.0,6.0,0.0,7.0,0.0
1987-03-21,20.0,1.0,,,,19.377333249,720.15258953,8.0,1.0,6.0,0.0,6.0,0.0
