date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,130.0,13.0,27.791194372,,,4.025928087,862.616786818,39.0,4.0,29.0,2.0,62.0,7.0
1987-01-02,150.0,14.0,,27.791194372,,4.579652287,1020.55842693,57.0,4.0,38.0,3.0,55.0,7.0
1987-01-03,101.0,11.0,33.67381559,,,3.400928087,1047.20012015,26.0,0.0,27.0,2.0,48.0,9.0
1987-01-04,135.0,7.0,40.791194372199996,33.67381559,,3.942594747,1403.72789793,44.0,2.0,27.0,0.0,64.0,5.0
1987-01-05,126.0,12.0,,40.791194372199996,,4.400928087,1219.70012015,41.0,3.0,26.0,0.0,59.0,9.0
1987-01-06,130.0,12.0,41.791194372199996,,,5.984261417000001,727.13481811,32.0,2.0,31.0,4.0,67.0,6.0
1987-01-07,129.0,12.0,34.791194372,41.791194372199996,,8.243867977,806.62696649,44.0,4.0,27.0,0.0,58.0,8.0
1987-01-08,109.0,13.0,29.791194372,34.791194372,,11.447738697,619.94001911,33.0,5.0,22.0,3.0,54.0,5.0
1987-01-09,125.0,7.0,33.183891437,29.791194372,,3.525928087,866.900033958,31.0,1.0,29.0,3.0,65.0,3.0
1987-01-10,153.0,11.0,,33.183891437,,5.037985627,660.67234241,49.0,3.0,39.0,3.0,65.0,5.0
1987-01-11,124.0,5.0,15.791194375999998,,,17.90607203,271.04704281,37.0,2.0,32.0,1.0,55.0,2.0
1987-01-12,111.0,11.0,19.791194376,15.791194375999998,,7.989405367000001,1663.01114507,37.0,2.0,30.0,2.0,44.0,7.0
1987-01-13,104.0,9.0,46.791194372,19.791194376,,6.572738697,1249.53892285,29.0,1.0,29.0,2.0,46.0,6.0
1987-01-14,118.0,6.0,36.791194372199996,46.791194372,,4.989405367,1121.22789793,42.0,1.0,27.0,1.0,49.0,4.0
1987-01-15,109.0,10.0,27.772321659,36.791194372199996,,4.906072027,1122.96784722,34.0,1.0,25.0,5.0,50.0,4.0
1987-01-16,125.0,11.0,12.791194375999998,27.772321659,,8.614405367,955.950424408,34.0,2.0,37.0,2.0,54.0,7.0
1987-01-17,128.0,16.0,,12.791194375999998,,6.239405367000001,803.21564023,31.0,3.0,25.0,3.0,72.0,10.0
1987-01-18,141.0,8.0,32.791194372,,,6.614405367000001,886.7367769,30.0,1.0,44.0,1.0,67.0,6.0
1987-01-19,130.0,12.0,25.791194372,32.791194372,,15.984261417,701.18122131,26.0,6.0,32.0,2.0,72.0,4.0
