date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,27.0,2.0,,,,,726.3857019,7.0,2.0,6.0,0.0,14.0,0.0
1987-01-02,18.0,4.0,,,,,786.7302973999999,5.0,0.0,5.0,2.0,8.0,2.0
1987-01-03,22.0,3.0,,,,,951.3857019,7.0,1.0,5.0,1.0,10.0,1.0
1987-01-04,25.0,2.0,,,,,1008.33333332,7.0,0.0,8.0,0.0,10.0,2.0
1987-01-05,29.0,2.0,,,,,1370.40744103,4.0,0.0,10.0,1.0,15.0,1.0
1987-01-06,21.0,1.0,,,,,1337.49999998,5.0,0.0,4.0,0.0,12.0,1.0
1987-01-07,25.0,2.0,,,,,600.0,9.0,0.0,4.0,0.0,12.0,2.0
1987-01-08,28.0,1.0,,,,,763.8857019,6.0,0.0,5.0,0.0,17.0,1.0
1987-01-09,15.0,2.0,34.561707841,,,,851.9476887,5.0,1.0,4.0,1.0,6.0,0.0
1987-01-10,23.0,,,34.561707841,,,662.5,1.0,0.0,5.0,2.0,17.0,
1987-01-11,14.0,1.0,,,,,491.6216018,3.0,0.0,3.0,0.0,8.0,1.0
1987-01-12,25.0,1.0,,,,,758.3333332999999,8.0,0.0,8.0,1.0,9.0,0.0
1987-01-13,21.0,2.0,,,,,1712.4549351,9.0,0.0,2.0,1.0,10.0,1.0
1987-01-14,19.0,0.0,,,,,1626.0869565,2.0,0.0,2.0,0.0,15.0,0.0
1987-01-15,22.0,3.0,47.0198711063,,,,688.8857019,5.0,0.0,6.0,1.0,11.0,2.0
1987-01-16,27.0,1.0,,47.0198711063,,,716.6216017999999,8.0,0.0,3.0,0.0,16.0,1.0
1987-01-17,16.0,3.0,,,,,799.9549351,3.0,0.0,4.0,0.0,9.0,3.0
1987-01-18,18.0,1.0,,,,,854.1666666000001,1.0,0.0,10.0,0.0,7.0,1.0
