date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,43.0,2.0,24.09308176,,,,1294.21997402,8.0,1.0,9.0,0.0,26.0,1.0
1987-01-02,40.0,3.0,,24.09308176,,,1545.48808996,9.0,0.0,11.0,0.0,20.0,3.0
1987-01-03,39.0,3.0,21.1,,,,1502.55330736,15.0,1.0,6.0,0.0,18.0,2.0
1987-01-04,36.0,5.0,,21.1,,,2075.4699739999996,9.0,0.0,7.0,1.0,20.0,4.0
1987-01-05,39.0,0.0,37.093081761,,,,1515.50620591,13.0,0.0,8.0,0.0,18.0,0.0
1987-01-06,43.0,1.0,,37.093081761,,,1467.2272204,9.0,0.0,16.0,0.0,18.0,1.0
1987-01-07,48.0,5.0,61.093081761,,,,1075.4699740219999,13.0,2.0,10.0,1.0,25.0,2.0
1987-01-08,34.0,4.0,,61.093081761,,,843.7670755,8.0,1.0,11.0,1.0,15.0,2.0
1987-01-09,37.0,0.0,36.0,,,,1125.659367961,8.0,0.0,10.0,0.0,19.0,0.0
1987-01-10,41.0,3.0,,36.0,,,875.469974,9.0,0.0,12.0,2.0,20.0,1.0
1987-01-11,44.0,1.0,37.093081761,,,,552.5533074,10.0,0.0,11.0,0.0,23.0,1.0
1987-01-12,45.0,3.0,,37.093081761,,,745.9409885,10.0,0.0,13.0,1.0,22.0,2.0
1987-01-13,34.0,3.0,44.093081761,,,,1277.55330736,9.0,1.0,9.0,1.0,16.0,1.0
1987-01-14,46.0,1.0,,44.093081761,,,716.0496842,14.0,0.0,13.0,1.0,19.0,0.0
1987-01-15,50.0,4.0,30.0,,,,900.469974,13.0,1.0,14.0,2.0,23.0,1.0
1987-01-16,36.0,1.0,,30.0,,,770.8504088,7.0,1.0,11.0,0.0,18.0,0.0
1987-01-17,41.0,5.0,14.09308176,,,,873.3866406999999,12.0,1.0,8.0,1.0,21.0,3.0
1987-01-18,30.0,1.0,,14.09308176,,,881.719974,8.0,0.0,6.0,1.0,16.0,0.0
1987-01-19,38.0,2.0,10.09308176,,,,717.1366407,11.0,1.0,12.0,0.0,15.0,1.0
1987-01-20,50.0,3.0,,10.09308176,,,658.9844668,9.0,0.0,14.0,0.0,27.0,3.0
1987-01-21,35.0,3.0,32.2,,,,794.219974,8.0,0.0,7.0,0.0,20.0,3.0
1987-01-22,39.0,3.0,,32.2,,,1152.55330736,9.0,0.0,14.0,2.0,16.0,1.0
1987-01-23,46.0,2.0,57.093081761,,,,724.9264958,9.0,0.0,12.0,0.0,25.0,2.0
1987-01-24,37.0,2.0,,57.093081761,,,717.1366407,7.0,1.0,8.0,0.0,22.0,1.0
1987-01-25,37.0,3.0,20.09308176,,,,708.8033074,5.0,0.0,13.0,1.0,19.0,2.0
1987-01-26,40.0,1.0,,20.09308176,,,878.5496842,10.0,0.0,13.0,0.0,17.0,1.0
1987-01-27,33.0,3.0,47.546540880500004,,,,1334.79968417,7.0,1.0,15.0,2.0,11.0,0.0
1987-01-28,43.0,4.0,,47.546540880500004,,,1080.482051317,12.0,0.0,13.0,0.0,18.0,4.0
1987-01-29,42.0,2.0,41.093081761,,,,779.6366407,11.0,0.0,9.0,1.0,22.0,1.0
1987-01-30,37.0,3.0,,41.093081761,,,695.1048681,14.0,0.0,9.0,0.0,14.0,3.0
1987-01-31,37.0,0.0,,,,,610.8866407,6.0,0.0,17.0,0.0,14.0,0.0
1987-02-01,45.0,2.0,,,,,887.969974,7.0,0.0,13.0,0.0,25.0,2.0
1987-02-02,31.0,4.0,,,,,1164.91332053,7.0,0.0,9.0,1.0,15.0,3.0
1987-02-03,40.0,1.0,,,,,873.3866406999999,14.0,0.0,10.0,0.0,16.0,1.0
1987-02-04,52.0,4.0,40.093081761,,,,900.0170755,16.0,0.0,15.0,1.0,21.0,3.0
1987-02-05,40.0,4.0,,40.093081761,,,1700.83229286,9.0,1.0,11.0,2.0,20.0,1.0
1987-02-06,51.0,4.0,64.546540881,,,,1169.85403199,17.0,0.0,12.0,0.0,22.0,4.0
1987-02-07,29.0,3.0,,64.546540881,,,1196.30330736,6.0,1.0,8.0,1.0,15.0,1.0
1987-02-08,34.0,5.0,46.093081761,,,,3627.5533074,7.0,2.0,8.0,1.0,19.0,2.0
1987-02-09,42.0,1.0,,46.093081761,,,746.719974,11.0,0.0,9.0,1.0,22.0,0.0
1987-02-10,46.0,0.0,59.093081761,,,,1872.02794504,12.0,0.0,19.0,0.0,15.0,0.0
1987-02-11,42.0,2.0,,59.093081761,,,2105.8866407,10.0,1.0,11.0,0.0,21.0,1.0
1987-02-12,40.0,2.0,41.093081761,,,,1628.59497402,12.0,0.0,10.0,1.0,18.0,1.0
1987-02-13,46.0,1.0,,41.093081761,,,696.3033074,8.0,1.0,15.0,0.0,23.0,0.0
1987-02-14,40.0,2.0,24.04654088,,,,1119.351714614,9.0,0.0,14.0,1.0,17.0,1.0
1987-02-15,44.0,1.0,,24.04654088,,,973.51838128,12.0,0.0,5.0,0.0,27.0,1.0
1987-02-16,41.0,3.0,17.09308176,,,,1094.351714614,12.0,0.0,13.0,3.0,16.0,0.0
1987-02-17,28.0,3.0,,17.09308176,,,1038.58312898,8.0,0.0,6.0,1.0,14.0,2.0
1987-02-18,24.0,0.0,22.09308176,,,,926.3757711000001,5.0,0.0,7.0,0.0,12.0,0.0
1987-02-19,48.0,3.0,,22.09308176,,,1816.71997402,7.0,0.0,16.0,1.0,25.0,2.0
1987-02-20,34.0,3.0,61.546540881000006,,,,2061.1842597,10.0,0.0,9.0,2.0,15.0,1.0
1987-02-21,42.0,1.0,,61.546540881000006,,,1404.63664069,9.0,1.0,12.0,0.0,21.0,0.0
1987-02-22,33.0,2.0,44.093081761,,,,1448.38664069,8.0,0.0,9.0,0.0,16.0,2.0
1987-02-23,39.0,2.0,,44.093081761,,,1119.854031993,15.0,0.0,7.0,1.0,17.0,1.0
1987-02-24,40.0,2.0,43.093081761,,,,2218.9482349,8.0,0.0,9.0,0.0,23.0,2.0
1987-02-25,36.0,1.0,,43.093081761,,,1083.803307355,8.0,0.0,7.0,0.0,21.0,1.0
1987-02-26,27.0,4.0,30.54654088,,,,840.0533073999999,8.0,1.0,7.0,1.0,12.0,2.0
1987-02-27,39.0,4.0,,30.54654088,,,759.3714892,8.0,0.0,12.0,0.0,19.0,4.0
1987-02-28,38.0,5.0,14.09308176,,,,983.80330736,6.0,0.0,18.0,2.0,14.0,3.0
1987-03-01,43.0,3.0,,14.09308176,,,1173.38664069,12.0,1.0,12.0,0.0,19.0,2.0
1987-03-02,40.0,1.0,42.093081761,,,,949.8057228,12.0,0.0,9.0,0.0,19.0,1.0
1987-03-03,42.0,5.0,,42.093081761,,,724.0810851,12.0,1.0,10.0,1.0,20.0,3.0
1987-03-04,45.0,5.0,24.04654088,,,,1068.22359721,12.0,1.0,11.0,1.0,22.0,3.0
1987-03-05,54.0,4.0,,24.04654088,,,1166.00027705,13.0,0.0,15.0,0.0,26.0,4.0
1987-03-06,44.0,3.0,60.093081761,,,,2190.9591045,10.0,0.0,11.0,3.0,23.0,0.0
1987-03-07,36.0,2.0,,60.093081761,,,929.6366406999999,14.0,1.0,9.0,0.0,13.0,1.0
1987-03-08,36.0,5.0,93.09308176100001,,,,1408.80330736,12.0,1.0,7.0,2.0,17.0,2.0
1987-03-09,31.0,5.0,,93.09308176100001,,,700.2888146,10.0,2.0,11.0,2.0,10.0,1.0
1987-03-10,50.0,4.0,18.54654088,,,,662.4264958,7.0,0.0,16.0,0.0,27.0,4.0
1987-03-11,39.0,2.0,,18.54654088,,,971.30330736,11.0,0.0,10.0,0.0,18.0,2.0
1987-03-12,43.0,2.0,43.093081761,,,,939.9627276000001,8.0,0.0,10.0,1.0,25.0,1.0
1987-03-13,44.0,4.0,,43.093081761,,,948.7489595000001,12.0,0.0,12.0,1.0,20.0,3.0
1987-03-14,51.0,2.0,24.09308176,,,,1194.21997402,13.0,0.0,12.0,1.0,26.0,1.0
1987-03-15,38.0,5.0,,24.09308176,,,752.5533074,8.0,0.0,10.0,0.0,20.0,5.0
1987-03-16,31.0,3.0,19.54654088,,,,830.7235972,9.0,0.0,8.0,2.0,14.0,1.0
1987-03-17,45.0,2.0,,19.54654088,,,1365.05330736,14.0,1.0,11.0,1.0,20.0,0.0
1987-03-18,32.0,1.0,29.09308176,,,,1262.96997402,12.0,0.0,7.0,0.0,13.0,1.0
1987-03-19,50.0,3.0,,29.09308176,,,994.21997402,16.0,0.0,11.0,0.0,23.0,3.0
1987-03-20,45.0,3.0,27.09308176,,,,1010.16200301,13.0,0.0,10.0,1.0,22.0,2.0
1987-03-21,31.0,2.0,,27.09308176,,,865.0533073999999,7.0,0.0,7.0,0.0,17.0,2.0
