date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,8.0,1.0,12.999999998,,,9.877603498,1404.44975865,2.0,0.0,2.0,0.0,4.0,1.0
1987-01-02,5.0,0.0,36.9999999999,12.999999998,,12.203690457999999,1775.28309198,2.0,0.0,2.0,0.0,1.0,0.0
1987-01-03,7.0,0.0,54.0,36.9999999999,,7.594994807999999,2065.77222242,2.0,0.0,2.0,0.0,3.0,0.0
1987-01-04,11.0,2.0,,54.0,,13.768907847000001,1176.4606282,3.0,0.0,1.0,0.0,7.0,2.0
1987-01-05,9.0,0.0,31.999999999899998,,,19.703690456,2082.89178763,2.0,0.0,1.0,0.0,6.0,0.0
1987-01-06,7.0,0.0,30.0,31.999999999899998,,14.483334725,2002.54758473,3.0,0.0,3.0,0.0,1.0,0.0
1987-01-07,7.0,0.0,17.999999998,30.0,,14.268907847000001,895.1200484999999,2.0,0.0,2.0,0.0,3.0,0.0
1987-01-08,5.0,1.0,32.9999999999,17.999999998,,10.703690457999999,1685.42801952,1.0,0.0,2.0,0.0,2.0,1.0
1987-01-09,3.0,0.0,53.0,32.9999999999,,12.355864367999999,3254.3591789,1.0,0.0,1.0,0.0,1.0,0.0
1987-01-10,8.0,0.0,,53.0,,10.594994808,2854.5403384,1.0,0.0,1.0,0.0,6.0,0.0
1987-01-11,5.0,0.0,81.0,,,11.812386108,1933.79758473,1.0,0.0,1.0,0.0,3.0,0.0
1987-01-12,9.0,0.0,,81.0,,6.203690458,3073.3809180999997,6.0,0.0,2.0,0.0,1.0,0.0
1987-01-13,5.0,0.0,92.0,,,7.452702317999999,3917.7485070000002,1.0,0.0,2.0,0.0,2.0,0.0
1987-01-14,11.0,1.0,31.999999999899998,92.0,,22.508038281999998,748.8173476,2.0,0.0,1.0,1.0,8.0,0.0
1987-01-15,6.0,1.0,31.999999999899998,31.999999999899998,,18.725429586,544.66715,3.0,0.0,1.0,1.0,2.0,0.0
1987-01-16,7.0,,,31.999999999899998,,13.508038277999999,869.4859905,2.0,,1.0,0.0,4.0,0.0
1987-01-17,6.0,1.0,59.0,,,13.029777408,1602.36642531,0.0,0.0,2.0,0.0,4.0,1.0
1987-01-18,7.0,0.0,39.9999999999,59.0,,16.073255673,1182.8012079000002,3.0,0.0,2.0,0.0,2.0,0.0
1987-01-19,9.0,1.0,21.0,39.9999999999,,23.029777413,752.0041065,5.0,0.0,1.0,0.0,3.0,1.0
1987-01-20,4.0,0.0,,21.0,,13.101911798,3433.6164252999997,1.0,0.0,1.0,0.0,2.0,0.0
1987-01-21,7.0,0.0,42.0,,,14.225429585999999,2066.85917894,2.0,0.0,1.0,0.0,4.0,0.0
1987-01-22,7.0,0.0,,42.0,,11.334125238,2607.8917876,2.0,0.0,2.0,0.0,3.0,0.0
1987-01-23,10.0,,54.0,,,8.594994808,4450.7359905,2.0,0.0,4.0,,4.0,0.0
1987-01-24,7.0,0.0,39.9999999999,54.0,,17.8776035,1938.68888908,3.0,0.0,2.0,0.0,2.0,0.0
1987-01-25,3.0,1.0,26.0,39.9999999999,,19.268907847,371.3881648,1.0,0.0,1.0,0.0,1.0,1.0
1987-01-26,5.0,1.0,33.9999999999,26.0,,8.899342628,1787.07492334,1.0,0.0,1.0,0.0,3.0,1.0
1987-01-27,5.0,0.0,69.0,33.9999999999,,11.816479838,2444.6506809,1.0,0.0,1.0,0.0,3.0,0.0
