date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,22.0,2.0,42.378685259,,,8.569962485,1718.3537218,9.0,0.0,3.0,0.0,10.0,2.0
1987-01-02,22.0,1.0,66.156554111,42.378685259,,4.570578885,2329.33562117,9.0,0.0,4.0,0.0,9.0,1.0
1987-01-03,21.0,5.0,37.7936882738,66.156554111,,10.140397635,1496.4879172570002,4.0,1.0,5.0,2.0,12.0,2.0
1987-01-04,19.0,3.0,25.999999999,37.7936882738,,12.472740263,2088.14522609,2.0,0.0,6.0,3.0,11.0,0.0
1987-01-05,22.0,5.0,46.1893426295,25.999999999,,11.927878025,1870.95230387,8.0,0.0,6.0,1.0,8.0,4.0
1987-01-06,19.0,1.0,28.156554111,46.1893426295,,7.944962485,981.0824592,6.0,0.0,4.0,0.0,9.0,1.0
1987-01-07,19.0,0.0,31.0,28.156554111,,5.250518045,1308.0665862,7.0,0.0,6.0,0.0,6.0,0.0
1987-01-08,23.0,4.0,28.0,31.0,,4.983851375,1650.29816625,5.0,0.0,2.0,0.0,16.0,4.0
1987-01-09,21.0,3.0,97.093049217,28.0,,7.792599785,4102.1885731,6.0,0.0,4.0,0.0,11.0,3.0
1987-01-10,15.0,4.0,56.378685258999994,97.093049217,,8.973356665,1840.62419899,1.0,0.0,5.0,2.0,9.0,2.0
1987-01-11,19.0,4.0,35.156554111,56.378685258999994,,6.890023335,1350.2981662,6.0,0.0,3.0,1.0,10.0,3.0
1987-01-12,10.0,1.0,68.767619685,35.156554111,,5.376134445,3371.5274585,3.0,0.0,4.0,0.0,3.0,1.0
1987-01-13,24.0,5.0,101.18934263,68.767619685,,4.888767835,4229.6795151999995,9.0,0.0,4.0,0.0,11.0,5.0
1987-01-14,22.0,4.0,35.0,101.18934263,,6.458212275,1061.2867188999999,5.0,0.0,2.0,0.0,15.0,4.0
1987-01-15,16.0,1.0,33.690970177,35.0,,9.445578885,752.9380735000001,8.0,1.0,4.0,0.0,4.0,0.0
1987-01-16,21.0,3.0,35.0,33.690970177,,8.153295815,1099.3845855999998,4.0,0.0,5.0,1.0,12.0,2.0
1987-01-17,22.0,1.0,37.0,35.0,,9.902656725,2017.96814924,8.0,1.0,5.0,0.0,9.0,0.0
1987-01-18,15.0,1.0,29.68934263,37.0,,13.209467777999999,1255.3370634000003,5.0,0.0,3.0,0.0,7.0,1.0
1987-01-19,21.0,2.0,14.189342629,29.68934263,,14.069962485,1149.7815077999999,7.0,1.0,4.0,0.0,10.0,1.0
1987-01-20,22.0,5.0,31.0,14.189342629,,7.640023335,3092.9604039,8.0,2.0,6.0,2.0,8.0,1.0
1987-01-21,20.0,4.0,37.0854256018,31.0,,16.556073595999997,1638.34737008,7.0,0.0,1.0,0.0,12.0,4.0
1987-01-22,25.0,3.0,74.0,37.0854256018,,13.139406929000002,1864.22617422,9.0,0.0,2.0,1.0,14.0,2.0
1987-01-23,24.0,4.0,107.98960479899999,74.0,,5.834467775,4118.4105758000005,6.0,0.0,5.0,1.0,13.0,3.0
1987-01-24,19.0,4.0,58.0,107.98960479899999,,11.375518045,3031.3689704999997,6.0,1.0,5.0,1.0,8.0,2.0
1987-01-25,17.0,3.0,27.0,58.0,,20.888767835,841.9264826,4.0,1.0,3.0,0.0,10.0,2.0
1987-01-26,21.0,4.0,68.0,27.0,,10.806073595,1997.09087934,8.0,1.0,4.0,1.0,9.0,2.0
1987-01-27,13.0,0.0,62.754339048999995,68.0,,10.459467775,1908.97855942,3.0,0.0,4.0,0.0,6.0,0.0
1987-01-28,17.0,1.0,136.0,62.754339048999995,,13.370095797000001,2226.5578434,3.0,0.0,3.0,0.0,11.0,1.0
1987-01-29,15.0,1.0,88.0,136.0,,19.319962485,1153.3770705999998,4.0,0.0,5.0,0.0,6.0,1.0
1987-01-30,18.0,2.0,99.0,88.0,,6.765023335,2671.9939704999997,6.0,0.0,1.0,0.0,11.0,2.0
1987-01-31,17.0,4.0,56.18934263,99.0,,7.362245555,2887.7598159000004,3.0,1.0,5.0,1.0,9.0,2.0
1987-02-01,15.0,1.0,36.0,56.18934263,,12.819962485,1131.0421943,4.0,0.0,7.0,1.0,4.0,0.0
1987-02-02,22.0,2.0,63.352655548,36.0,,18.261235455,1564.8783481310002,9.0,0.0,3.0,0.0,10.0,2.0
1987-02-03,15.0,1.0,68.0,63.352655548,,5.124878945,2406.36897053,2.0,0.0,2.0,0.0,11.0,1.0
1987-02-04,15.0,2.0,52.0,68.0,,2.569323395,1587.71587934,3.0,0.0,5.0,1.0,7.0,1.0
1987-02-05,11.0,2.0,59.0,52.0,,7.914406925,2482.9166504,2.0,0.0,2.0,0.0,7.0,2.0
1987-02-06,11.0,1.0,71.0,59.0,,9.723356665,3318.2211818000005,6.0,1.0,2.0,0.0,3.0,0.0
1987-02-07,15.0,2.0,29.0,71.0,,10.760220665,1659.24093794,4.0,0.0,4.0,1.0,7.0,1.0
1987-02-08,8.0,1.0,47.019322214,29.0,,9.541545615,1855.06652593,2.0,1.0,3.0,0.0,3.0,0.0
1987-02-09,19.0,1.0,54.0,47.019322214,,9.162695145,2408.3576069,5.0,1.0,3.0,0.0,11.0,0.0
1987-02-10,17.0,1.0,69.0,54.0,,6.029286515,2669.4711818000005,8.0,0.0,5.0,1.0,4.0,0.0
1987-02-11,18.0,3.0,40.9948023996,69.0,,11.001134445,1699.53141636,6.0,0.0,3.0,1.0,9.0,2.0
1987-02-12,21.0,1.0,62.0,40.9948023996,,9.015023335,2323.42951517,10.0,1.0,1.0,0.0,10.0,0.0
1987-02-13,22.0,1.0,47.0,62.0,,10.569962485,2684.5535551999997,3.0,0.0,5.0,0.0,14.0,1.0
1987-02-14,15.0,2.0,26.698689279,47.0,,9.528295815,953.9950522,4.0,1.0,5.0,1.0,6.0,0.0
1987-02-15,12.0,2.0,22.999999999,26.698689279,,15.30669,956.7628484999999,4.0,1.0,3.0,1.0,5.0,0.0
1987-02-16,17.0,3.0,15.999999999000002,22.999999999,,12.417184707,776.2937372,4.0,1.0,4.0,1.0,9.0,1.0
1987-02-17,19.0,2.0,37.4948023996,15.999999999000002,,10.897959845,1208.556958,7.0,1.0,2.0,1.0,10.0,0.0
1987-02-18,21.0,2.0,24.999999999,37.4948023996,,12.444962485,1083.6928275999999,7.0,0.0,2.0,0.0,12.0,2.0
1987-02-19,22.0,4.0,18.999999999,24.999999999,,12.864761625,1207.0838609999998,5.0,0.0,8.0,1.0,9.0,3.0
1987-02-20,17.0,1.0,43.3950494319,18.999999999,,12.093928295,1731.47362468,8.0,0.0,2.0,0.0,7.0,1.0
1987-02-21,21.0,2.0,66.0,43.3950494319,,20.087639252,1615.09683172,9.0,0.0,3.0,1.0,9.0,1.0
1987-02-22,15.0,5.0,,66.0,,19.861629151,1666.88254601,6.0,0.0,3.0,2.0,6.0,3.0
1987-02-23,14.0,1.0,82.0,,,12.854382775,1786.25052763,3.0,0.0,3.0,1.0,8.0,0.0
1987-02-24,12.0,0.0,35.0,82.0,,8.506073595,877.6903715,4.0,0.0,3.0,0.0,5.0,0.0
1987-02-25,18.0,3.0,56.0,35.0,,5.778295815,1548.176482575,6.0,0.0,4.0,0.0,8.0,3.0
1987-02-26,23.0,3.0,26.054809889,56.0,,14.069962485,936.7181492000001,5.0,0.0,8.0,1.0,10.0,2.0
1987-02-27,20.0,3.0,38.0,26.054809889,,19.819962485,1407.9843087000002,4.0,0.0,4.0,0.0,12.0,3.0
1987-02-28,26.0,4.0,65.0,38.0,,22.316766918000003,1185.632546,5.0,0.0,8.0,1.0,13.0,3.0
1987-03-01,17.0,2.0,52.989604799,65.0,,17.719544696,1357.507546,5.0,0.0,2.0,0.0,10.0,2.0
1987-03-02,13.0,1.0,93.0,52.989604799,,16.985849044000002,1979.02485926,5.0,0.0,4.0,0.0,4.0,1.0
1987-03-03,14.0,3.0,,93.0,,15.316766917999999,1969.65760461,7.0,1.0,2.0,1.0,5.0,1.0
1987-03-04,23.0,4.0,63.945508665,,,16.435659257,2059.62707056,9.0,0.0,4.0,2.0,10.0,2.0
1987-03-05,9.0,1.0,64.0,63.945508665,,19.958851374,2283.59314924,3.0,1.0,3.0,0.0,3.0,0.0
1987-03-06,12.0,1.0,61.0,64.0,,21.515397631,2767.9604039,3.0,0.0,3.0,0.0,6.0,1.0
1987-03-07,19.0,6.0,53.4948024,61.0,,25.5415456129,1580.424212672,6.0,1.0,5.0,1.0,8.0,4.0
1987-03-08,8.0,1.0,21.999999999,53.4948024,,20.87551804,538.3700522,2.0,0.0,2.0,0.0,4.0,1.0
1987-03-09,20.0,5.0,,21.999999999,,18.722740263,1022.7450522,5.0,1.0,5.0,1.0,10.0,3.0
1987-03-10,20.0,3.0,69.784162976,,,13.231803789,1924.79219429,8.0,0.0,4.0,1.0,8.0,2.0
1987-03-11,25.0,6.0,58.0,69.784162976,,13.635003633,1956.47051144,7.0,1.0,5.0,2.0,13.0,3.0
1987-03-12,12.0,1.0,52.0,58.0,,16.570578889,2052.75674332,2.0,0.0,4.0,0.0,6.0,1.0
1987-03-13,23.0,0.0,37.9896047992,52.0,,19.704665105,1621.70338552,9.0,0.0,4.0,0.0,10.0,0.0
1987-03-14,22.0,3.0,29.0,37.9896047992,,31.069323390700003,449.4711823,7.0,1.0,5.0,1.0,10.0,1.0
1987-03-15,18.0,1.0,33.0,29.0,,12.871331772000001,644.9106372,4.0,0.0,1.0,0.0,13.0,1.0
1987-03-16,20.0,2.0,6.490048899,33.0,,8.278295815,1245.8881681,3.0,0.0,7.0,2.0,10.0,0.0
1987-03-17,23.0,4.0,27.0,6.490048899,,14.361629150999999,1139.3755276,8.0,1.0,1.0,0.0,14.0,3.0
1987-03-18,19.0,1.0,41.0,27.0,,19.705655807,1337.7236247,3.0,0.0,7.0,1.0,9.0,0.0
1987-03-19,15.0,1.0,56.989604799,41.0,,18.819962485,1702.55950755,3.0,0.0,1.0,0.0,11.0,1.0
1987-03-20,16.0,1.0,,56.989604799,,22.806073595900003,966.9264826,5.0,0.0,3.0,0.0,8.0,1.0
1987-03-21,19.0,3.0,18.999999999,,,34.514406929,434.8878483,6.0,0.0,8.0,1.0,5.0,2.0
1987-03-22,26.0,4.0,12.249370089000001,18.999999999,,29.6532958181,501.5178409,10.0,0.0,7.0,1.0,9.0,3.0
1987-03-23,15.0,1.0,,12.249370089000001,,29.2505180404,813.8014826,6.0,0.0,3.0,1.0,6.0,0.0
1987-03-24,14.0,0.0,34.0,,,25.9588513737,795.873851,5.0,0.0,3.0,0.0,6.0,0.0
1987-03-25,17.0,1.0,25.999999999,34.0,,26.121706069400002,1019.0098159,4.0,1.0,6.0,0.0,7.0,0.0
1987-03-26,17.0,4.0,38.0,25.999999999,,27.5168223882,1162.4628467,7.0,2.0,3.0,0.0,7.0,2.0
1987-03-27,13.0,1.0,35.0,38.0,,27.8755180404,841.4950522,3.0,0.0,3.0,0.0,7.0,1.0
1987-03-28,17.0,3.0,19.249370089,35.0,,28.847740262600002,475.8700523,8.0,1.0,3.0,0.0,6.0,2.0
1987-03-29,19.0,2.0,28.0,19.249370089,,26.527656724,605.7211818,9.0,0.0,5.0,1.0,5.0,1.0
1987-03-30,20.0,3.0,,28.0,,20.889406929,1563.765291352,5.0,1.0,5.0,0.0,10.0,2.0
1987-03-31,20.0,2.0,50.989604799,,,23.5005180404,1214.5461801,10.0,1.0,4.0,1.0,6.0,0.0
1987-04-01,21.0,5.0,,50.989604799,,25.302878029099997,1009.6348159,4.0,2.0,5.0,1.0,12.0,2.0
1987-04-02,29.0,2.0,39.0,,,24.1046833452,1339.5461801,5.0,0.0,7.0,0.0,17.0,2.0
1987-04-03,19.0,0.0,37.7716402069,39.0,,26.9042865198,1139.4415259000002,7.0,0.0,3.0,0.0,9.0,0.0
1987-04-04,11.0,2.0,,37.7716402069,,29.944323390700003,418.2211823,0.0,0.0,2.0,0.0,9.0,2.0
1987-04-05,17.0,1.0,16.999999999,,,35.594544696,464.0545153,7.0,0.0,2.0,0.0,8.0,1.0
1987-04-06,20.0,2.0,49.0,16.999999999,,25.0945446958,1448.17648258,7.0,1.0,5.0,0.0,8.0,1.0
1987-04-07,21.0,3.0,46.0,49.0,,24.168175408699998,1384.94808302,8.0,0.0,4.0,1.0,9.0,2.0
