date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,48.0,2.0,29.927402651999998,,,1.82134834,,11.0,1.0,8.0,0.0,29.0,1.0
1987-01-02,60.0,4.0,,29.927402651999998,,2.412399,,21.0,1.0,10.0,0.0,29.0,3.0
1987-01-03,59.0,4.0,19.963701322000002,,,6.9147490000000005,,15.0,2.0,13.0,0.0,31.0,2.0
1987-01-04,50.0,2.0,34.084122631999996,19.963701322000002,,4.578624,,14.0,0.0,13.0,1.0,23.0,1.0
1987-01-05,61.0,5.0,53.084122631999996,34.084122631999996,,6.107724,,13.0,0.0,22.0,0.0,26.0,5.0
1987-01-06,59.0,3.0,74.084122632,53.084122631999996,,2.5398240000000003,,18.0,1.0,20.0,0.0,21.0,2.0
1987-01-07,44.0,4.0,27.927402651999998,74.084122632,,7.594349,,15.0,0.0,11.0,2.0,18.0,2.0
1987-01-08,63.0,6.0,31.084122632,27.927402651999998,,8.196197677999999,,22.0,2.0,11.0,1.0,30.0,3.0
1987-01-09,49.0,4.0,35.005762642,31.084122632,,3.091999,,11.0,0.0,10.0,0.0,28.0,4.0
1987-01-10,47.0,2.0,40.084122631999996,35.005762642,,1.9451740000000002,,18.0,2.0,6.0,0.0,23.0,0.0
1987-01-11,57.0,3.0,15.927402652,40.084122631999996,,14.751386495999999,,21.0,0.0,15.0,2.0,21.0,1.0
1987-01-12,42.0,1.0,,15.927402652,,8.443848996,,12.0,0.0,11.0,1.0,19.0,0.0
1987-01-13,52.0,4.0,57.084122631999996,,,1.9451740000000002,,12.0,1.0,15.0,2.0,25.0,1.0
1987-01-14,39.0,2.0,96.084122632,57.084122631999996,,2.752199,,13.0,0.0,9.0,0.0,17.0,2.0
1987-01-15,50.0,7.0,29.542061311999998,96.084122632,,11.44225963,,21.0,3.0,9.0,1.0,20.0,3.0
1987-01-16,47.0,8.0,21.084122632,29.542061311999998,,12.82269713,,10.0,2.0,16.0,5.0,21.0,1.0
1987-01-17,55.0,3.0,16.927402652,21.084122632,,10.808410177999999,,15.0,0.0,19.0,2.0,21.0,1.0
1987-01-18,58.0,4.0,15.084122632,16.927402652,,8.19292213,,24.0,2.0,21.0,2.0,13.0,0.0
1987-01-19,64.0,0.0,22.927402651999998,15.084122632,,13.901886496,,25.0,0.0,15.0,0.0,24.0,0.0
1987-01-20,62.0,5.0,,22.927402651999998,,10.689966154,,12.0,1.0,16.0,2.0,34.0,2.0
1987-01-21,55.0,5.0,35.867790593,,,9.911198062999999,,17.0,0.0,15.0,2.0,23.0,3.0
1987-01-22,42.0,4.0,46.084122632299994,35.867790593,,7.84054181,,10.0,0.0,5.0,1.0,27.0,3.0
1987-01-23,56.0,6.0,24.927402651999998,46.084122632299994,,19.914060563099998,,16.0,2.0,15.0,1.0,25.0,3.0
1987-01-24,58.0,0.0,44.084122632299994,24.927402651999998,,13.861373063,,20.0,0.0,16.0,0.0,22.0,0.0
1987-01-25,61.0,4.0,34.0,44.084122632299994,,11.026166813,,18.0,1.0,15.0,1.0,28.0,2.0
1987-01-26,50.0,2.0,36.084122631999996,34.0,,8.307766812999999,,13.0,1.0,10.0,0.0,27.0,1.0
1987-01-27,65.0,5.0,58.463701326000006,36.084122631999996,,8.10601056,,20.0,1.0,14.0,1.0,31.0,3.0
1987-01-28,71.0,4.0,48.084122632299994,58.463701326000006,,6.24772931,,28.0,2.0,15.0,1.0,28.0,1.0
1987-01-29,52.0,4.0,39.0,48.084122632299994,,6.69535459,,11.0,1.0,18.0,2.0,23.0,1.0
1987-01-30,50.0,5.0,20.084122632,39.0,,9.18521875,,16.0,1.0,12.0,2.0,22.0,2.0
1987-01-31,51.0,3.0,17.927402652,20.084122632,,17.6483625,,10.0,0.0,14.0,0.0,27.0,3.0
1987-02-01,69.0,4.0,54.084122631999996,17.927402652,,8.10210625,,22.0,1.0,16.0,3.0,31.0,0.0
1987-02-02,66.0,5.0,46.9637013258,54.084122631999996,,4.5235875,,17.0,1.0,23.0,3.0,26.0,1.0
1987-02-03,56.0,5.0,31.084122632,46.9637013258,,10.335948063,,13.0,0.0,13.0,2.0,30.0,3.0
1987-02-04,47.0,2.0,27.927402651999998,31.084122632,,12.109279313,,14.0,0.0,12.0,1.0,21.0,1.0
1987-02-05,54.0,4.0,68.084122632,27.927402651999998,,4.36430625,,14.0,0.0,11.0,0.0,29.0,4.0
1987-02-06,53.0,3.0,91.084122632,68.084122632,,6.83544107,,15.0,0.0,11.0,1.0,27.0,2.0
1987-02-07,51.0,3.0,49.084122632299994,91.084122632,,7.7005365,,19.0,0.0,9.0,0.0,23.0,3.0
1987-02-08,52.0,8.0,41.5057626419,49.084122632299994,,23.8111418131,,12.0,0.0,13.0,2.0,27.0,6.0
1987-02-09,63.0,3.0,,41.5057626419,,17.163804313,,21.0,0.0,13.0,1.0,29.0,2.0
1987-02-10,52.0,6.0,41.9274026514,,,10.612035563,,12.0,0.0,19.0,2.0,21.0,4.0
1987-02-11,58.0,2.0,28.084122632,41.9274026514,,7.66166084,,19.0,1.0,15.0,1.0,24.0,0.0
1987-02-12,49.0,3.0,,28.084122632,,8.850960837,,10.0,1.0,12.0,0.0,27.0,2.0
1987-02-13,32.0,4.0,26.084122632,,,12.818773996,,12.0,1.0,9.0,3.0,11.0,0.0
1987-02-14,42.0,2.0,18.927402652,26.084122632,,15.657579587,,12.0,1.0,10.0,1.0,20.0,0.0
