date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,43,3.0,22.368434033000003,,,17.972989422999998,464.61847432,14,0.0,9,1.0,20,2.0
1987-01-02,71,5.0,,22.368434033000003,,23.059040149,1093.11602134,23,2.0,19,1.0,29,2.0
1987-01-03,53,7.0,11.515268398,,,22.488799701999998,213.08826512,19,2.0,8,0.0,26,5.0
1987-01-04,47,6.0,,11.515268398,,25.936145241,522.03793922,12,0.0,11,1.0,24,5.0
1987-01-05,35,4.0,17.368434033,,,20.283971755,718.8026992680001,11,1.0,9,2.0,15,1.0
1987-01-06,57,6.0,,17.368434033,,23.402831321999997,931.07944116,9,2.0,19,1.0,29,3.0
1987-01-07,58,3.0,30.015268402800004,,,14.034220643,731.816114383,16,1.0,15,2.0,27,0.0
1987-01-08,62,5.0,,30.015268402800004,,6.123449302999999,1071.42367453,14,1.0,22,2.0,26,2.0
1987-01-09,54,1.0,13.015268398,,,8.586356923,604.88377902,27,0.0,11,0.0,16,1.0
1987-01-10,66,8.0,,13.015268398,,19.971011239,301.58997142,25,2.0,12,0.0,29,6.0
1987-01-11,58,5.0,22.515268403,,,15.478257613,594.22419404,15,1.0,16,2.0,27,2.0
1987-01-12,50,0.0,,22.515268403,,14.587001633,1341.69054512,22,0.0,12,0.0,16,0.0
1987-01-13,57,7.0,15.015268398,,,9.602153142999999,1217.95042654,16,2.0,8,1.0,33,4.0
1987-01-14,50,6.0,,15.015268398,,20.527355655,572.73633162,16,2.0,9,0.0,25,4.0
1987-01-15,65,6.0,18.515268403,,,9.477812333,820.54583435,23,3.0,7,0.0,35,3.0
1987-01-16,44,5.0,,18.515268403,,6.4421923229999996,482.76174342,14,2.0,9,1.0,21,2.0
1987-01-17,50,3.0,4.015268398,,,4.501623723,431.09425332,15,0.0,8,1.0,27,2.0
1987-01-18,44,5.0,,4.015268398,,18.631504513,281.25070922,13,3.0,12,2.0,19,0.0
1987-01-19,42,2.0,20.015268403,,,17.039250493,992.2010853,12,0.0,11,0.0,19,2.0
1987-01-20,56,11.0,,20.015268403,,19.156665492000002,864.01629575,21,3.0,13,2.0,22,6.0
1987-01-21,52,7.0,24.662102771999997,,,18.781153322999998,857.9030708999999,12,0.0,11,1.0,29,6.0
1987-01-22,46,4.0,,24.662102771999997,,22.567314625999998,616.23244011,16,2.0,15,0.0,15,2.0
1987-01-23,74,7.0,25.515268403,,,20.423958152,765.977839992,24,1.0,17,2.0,33,4.0
1987-01-24,52,6.0,,25.515268403,,29.5281652039,462.19277862,15,0.0,12,3.0,25,3.0
1987-01-25,44,5.0,18.368434033,,,28.706169177,742.251285398,11,0.0,6,2.0,27,3.0
1987-01-26,64,5.0,,18.368434033,,13.859241783,1585.30374946,23,0.0,10,0.0,31,5.0
1987-01-27,58,5.0,45.515268403,,,22.852906016,1852.85213952,21,0.0,13,3.0,24,2.0
1987-01-28,59,7.0,,45.515268403,,25.783703046,1024.20811835,19,3.0,14,2.0,26,2.0
1987-01-29,44,8.0,54.515268403,,,23.369192096,379.56495002,13,3.0,11,2.0,20,3.0
1987-01-30,55,5.0,,54.515268403,,12.394636763,1431.65080356,13,0.0,17,2.0,25,3.0
1987-01-31,63,6.0,38.015268403,,,24.657220831999997,1069.9465607000002,26,0.0,14,3.0,23,3.0
1987-02-01,47,2.0,,38.015268403,,28.222871624,181.11789432,8,0.0,13,1.0,26,1.0
1987-02-02,53,5.0,28.015268402800004,,,18.043666812999998,1124.38570322,13,1.0,17,2.0,23,2.0
1987-02-03,48,3.0,,28.015268402800004,,16.382977303,1227.25450704,17,0.0,10,1.0,21,2.0
1987-02-04,45,5.0,25.515268403,,,31.2894270744,968.31772943,12,0.0,11,2.0,22,3.0
1987-02-05,59,2.0,,25.515268403,,15.188382613,599.52871811,19,0.0,15,1.0,25,1.0
1987-02-06,57,8.0,11.015268398,,,6.910632282999999,677.653718108,21,2.0,11,1.0,25,5.0
1987-02-07,57,5.0,,11.015268398,,22.149845065999997,363.27422702,24,1.0,11,1.0,22,3.0
1987-02-08,43,1.0,11.015268398,,,26.339740696,253.79972752,12,0.0,11,0.0,20,1.0
1987-02-09,57,3.0,,11.015268398,,16.973441103,871.8699550000001,17,0.0,12,1.0,28,2.0
1987-02-10,41,4.0,28.015268402800004,,,28.355262131999996,589.4650412000001,13,0.0,9,1.0,19,3.0
1987-02-11,40,5.0,,28.015268402800004,,26.487281632,511.77347852,13,2.0,13,2.0,14,1.0
1987-02-12,48,,30.015268402800004,,,20.25926777,1166.32995986,13,,9,0.0,26,1.0
1987-02-13,48,6.0,,30.015268402800004,,18.561328643,511.85720452,23,2.0,10,2.0,15,2.0
1987-02-14,53,3.0,17.515268403,,,20.279153345999998,320.01968902,14,0.0,16,1.0,23,2.0
1987-02-15,66,8.0,,17.515268403,,17.527177063,318.46811202,20,1.0,15,3.0,31,4.0
1987-02-16,45,3.0,19.515268403,,,12.694146782999999,533.64642732,12,1.0,11,0.0,22,2.0
1987-02-17,51,2.0,,19.515268403,,19.537548055,685.4744905525,27,1.0,9,0.0,15,1.0
1987-02-18,41,0.0,34.015268402800004,,,17.773765782999998,852.15157138,14,0.0,9,0.0,18,0.0
1987-02-19,46,1.0,,34.015268402800004,,13.961131713,686.6469021662999,9,0.0,10,0.0,27,1.0
1987-02-20,50,0.0,25.015268403,,,12.526864263,629.06182087,15,0.0,9,0.0,26,0.0
1987-02-21,53,7.0,,25.015268403,,20.727092475,220.93101472,14,1.0,6,1.0,33,5.0
1987-02-22,39,3.0,18.515268403,,,26.640400584,426.76105422,19,2.0,10,0.0,10,1.0
1987-02-23,55,5.0,,18.515268403,,23.194909715,919.54543262,18,0.0,17,4.0,20,1.0
1987-02-24,55,4.0,16.515268398,,,23.73385899,560.26713082,19,1.0,9,0.0,27,3.0
1987-02-25,50,3.0,,16.515268398,,15.986376233,638.87996726,15,1.0,9,1.0,26,1.0
1987-02-26,53,3.0,11.015268398,,,12.809226082999999,848.1227118999999,15,0.0,11,0.0,27,3.0
1987-02-27,56,1.0,,11.015268398,,8.628132263,925.13193456,22,0.0,13,1.0,21,0.0
1987-02-28,53,2.0,19.515268403,,,31.0079895168,145.17125612,18,0.0,15,1.0,20,1.0
1987-03-01,42,2.0,,19.515268403,,31.6107563152,492.04115042,13,0.0,9,0.0,20,2.0
1987-03-02,63,5.0,26.515268403,,,21.628048805,1300.82562586,19,0.0,13,2.0,31,3.0
1987-03-03,38,2.0,,26.515268403,,19.264469572,997.99415717,19,1.0,5,0.0,14,1.0
