date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,9.0,0.0,,,,18.493995242,2366.9026040999997,2.0,0.0,1.0,0.0,6.0,0.0
1987-01-02,11.0,1.0,,,,23.860940895,1153.64502831,1.0,0.0,3.0,0.0,7.0,1.0
1987-01-03,10.0,2.0,76.79110801899999,,18.3773893689,19.132410593,2187.35714952,1.0,0.0,2.0,0.0,7.0,2.0
1987-01-04,9.0,2.0,,76.79110801899999,,18.33165758,3416.2012998000005,4.0,0.0,2.0,0.0,3.0,2.0
1987-01-05,7.0,1.0,74.79110801899999,,7.3773893689,20.893907928,1730.38228121,1.0,0.0,1.0,0.0,5.0,1.0
1987-01-06,12.0,0.0,,74.79110801899999,,27.491378875,3130.4068626,1.0,0.0,5.0,0.0,6.0,0.0
1987-01-07,6.0,0.0,42.7911080194,,16.3773893689,15.193242227,2117.12324789,2.0,0.0,2.0,0.0,2.0,0.0
1987-01-08,6.0,1.0,,42.7911080194,,26.854384852,2006.7336375,1.0,0.0,2.0,0.0,3.0,1.0
1987-01-09,9.0,0.0,43.7911080194,,12.377389368900001,17.007546907000002,1934.22179764,1.0,0.0,5.0,0.0,3.0,0.0
1987-01-10,9.0,2.0,,43.7911080194,,14.013475757,1944.45573888,1.0,0.0,2.0,0.0,6.0,2.0
1987-01-11,11.0,2.0,60.791108019,,20.3773893689,14.922566667,2410.5532064,3.0,0.0,1.0,0.0,7.0,2.0
1987-01-12,12.0,2.0,,60.791108019,,14.616242557,2894.9656145,2.0,0.0,2.0,0.0,8.0,2.0
1987-01-13,13.0,2.0,28.791108023000003,,5.3773893689,16.572764297,2050.07925091,4.0,0.0,2.0,0.0,7.0,2.0
1987-01-14,5.0,0.0,,28.791108023000003,,23.399839398,1266.9557388839999,2.0,0.0,2.0,0.0,1.0,0.0
1987-01-15,17.0,1.0,40.7911080194,,8.3773893689,11.081657577,1160.36482979,4.0,0.0,5.0,0.0,8.0,1.0
1987-01-16,9.0,,,40.7911080194,,10.436758417,1409.87240555,3.0,0.0,3.0,,3.0,0.0
1987-01-17,5.0,2.0,21.791108023000003,,8.3773893689,14.447900617,1075.9935132,3.0,1.0,0.0,0.0,2.0,1.0
1987-01-18,8.0,0.0,,21.791108023000003,,25.258177294,814.6298767999999,2.0,0.0,4.0,0.0,2.0,0.0
1987-01-19,9.0,0.0,51.791108019,,20.3773893689,14.072764297,1538.20573888,2.0,0.0,1.0,0.0,6.0,0.0
1987-01-20,9.0,0.0,,51.791108019,,18.390946117000002,753.3843102999999,2.0,0.0,1.0,0.0,6.0,0.0
