date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,48.0,2.0,31.080029414200002,,,15.880176376,3245.2227691,22.0,2.0,11.0,0.0,15.0,0.0
1987-01-02,42.0,3.0,,31.080029414200002,,15.781208683,828.6574026000001,25.0,0.0,3.0,1.0,14.0,2.0
1987-01-03,34.0,5.0,2.080029418,,,25.0890058582,278.2380659,7.0,2.0,9.0,1.0,18.0,2.0
1987-01-04,24.0,0.0,-3.919970582,2.080029418,,21.744199534,373.16888839999996,10.0,0.0,7.0,0.0,7.0,0.0
1987-01-05,34.0,5.0,24.760065108000003,-3.919970582,22.0927123288,14.804793260999999,1443.62775836,13.0,2.0,9.0,1.0,12.0,2.0
1987-01-06,34.0,1.0,22.080029414000002,24.760065108000003,,14.139014829,1661.41979049,15.0,1.0,5.0,0.0,14.0,0.0
1987-01-07,46.0,2.0,20.760065108,22.080029414000002,14.092712328800001,13.259356762000001,1163.39319209,19.0,1.0,13.0,0.0,14.0,1.0
1987-01-08,45.0,5.0,18.080029418,20.760065108,,12.741580972000001,944.05854124,16.0,2.0,12.0,2.0,17.0,1.0
1987-01-09,43.0,7.0,15.260065108,18.080029418,11.092712329000001,10.008716382000001,1001.3158974080001,14.0,0.0,12.0,4.0,17.0,3.0
1987-01-10,47.0,3.0,1.080029418,15.260065108,,13.078381122,715.9623621000001,18.0,0.0,8.0,1.0,21.0,2.0
1987-01-11,35.0,3.0,18.260065108,1.080029418,12.092712329000001,14.23469696,1256.74519034,17.0,1.0,8.0,1.0,10.0,1.0
1987-01-12,45.0,4.0,,18.260065108,,7.060173832,2662.432914,19.0,0.0,7.0,0.0,19.0,4.0
1987-01-13,41.0,8.0,15.260065108,,11.092712329000001,7.939677552000001,1230.5479969,15.0,0.0,9.0,4.0,17.0,4.0
1987-01-14,42.0,2.0,10.080029417999999,15.260065108,,19.120600325999998,857.4154615,14.0,0.0,13.0,1.0,15.0,1.0
1987-01-15,44.0,2.0,26.760065108000003,10.080029417999999,19.0927123288,14.893877621,922.5309016000001,21.0,1.0,9.0,0.0,14.0,1.0
1987-01-16,40.0,3.0,,26.760065108000003,,11.214697382,735.2509046,12.0,0.0,9.0,1.0,19.0,2.0
1987-01-17,58.0,8.0,7.260065107999999,,14.092712328800001,5.108742202,468.7401398,16.0,1.0,13.0,1.0,29.0,6.0
1987-01-18,39.0,8.0,-2.919970582,7.260065107999999,,11.052029072,252.42481260000002,14.0,4.0,6.0,1.0,19.0,3.0
1987-01-19,44.0,2.0,16.440100798,-2.919970582,10.092712329,14.465643399000001,1361.47945736,14.0,1.0,12.0,0.0,18.0,1.0
1987-01-20,48.0,6.0,,16.440100798,,11.238318122,998.2548196810001,18.0,2.0,8.0,2.0,22.0,2.0
1987-01-21,49.0,6.0,12.260065108,,10.092712329,10.914700452,1251.85229241,10.0,2.0,18.0,3.0,21.0,1.0
1987-01-22,40.0,4.0,24.080029414000002,12.260065108,,14.508015074000001,1177.20679395,16.0,0.0,6.0,0.0,18.0,4.0
1987-01-23,27.0,0.0,32.7600651078,24.080029414000002,14.092712328800001,15.665366477000001,1894.37145296,11.0,0.0,9.0,0.0,7.0,0.0
1987-01-24,38.0,2.0,15.080029417999999,32.7600651078,,20.343370055,364.62666,13.0,1.0,13.0,1.0,12.0,0.0
1987-01-25,37.0,2.0,14.260065108,15.080029417999999,13.092712329000001,26.8191091237,600.6115085,12.0,0.0,8.0,1.0,17.0,1.0
1987-01-26,37.0,8.0,,14.260065108,,15.940651761,1703.96480586,14.0,2.0,9.0,1.0,14.0,5.0
1987-01-27,50.0,4.0,30.760065107800003,,20.0927123288,22.932209830999998,1744.93428324,19.0,0.0,10.0,1.0,21.0,3.0
1987-01-28,46.0,6.0,10.080029417999999,30.760065107800003,,22.86153204,965.97255717,19.0,1.0,7.0,2.0,20.0,3.0
1987-01-29,48.0,5.0,16.080029418,10.080029417999999,,21.012316630999997,518.041689,21.0,3.0,11.0,1.0,16.0,1.0
1987-01-30,37.0,2.0,,16.080029418,,16.431844862000002,1524.53045751,11.0,0.0,9.0,0.0,17.0,2.0
1987-01-31,31.0,2.0,43.080029413999995,,,22.492804427,1296.57110449,10.0,0.0,9.0,0.0,12.0,2.0
1987-02-01,42.0,2.0,11.080029417999999,43.080029413999995,,18.570319063,400.9493555,11.0,0.0,10.0,0.0,21.0,2.0
1987-02-02,38.0,4.0,32.7600651078,11.080029417999999,24.092712329,10.229182812000001,1429.68233747,11.0,1.0,13.0,0.0,14.0,3.0
1987-02-03,40.0,,37.0800294142,32.7600651078,,15.554705549000001,1316.3714334000001,14.0,,13.0,2.0,13.0,1.0
1987-02-04,45.0,2.0,17.760065108,37.0800294142,14.092712328800001,28.3903428027,704.9201281,14.0,0.0,13.0,1.0,18.0,1.0
1987-02-05,37.0,4.0,11.080029417999999,17.760065108,,20.185574039000002,654.0711045,15.0,1.0,4.0,0.0,18.0,3.0
1987-02-06,36.0,0.0,13.260065108,11.080029417999999,9.092712329,8.905265042,733.2239463,12.0,0.0,6.0,0.0,18.0,0.0
1987-02-07,42.0,4.0,13.080029417999999,13.260065108,,16.008000023,780.4825641,16.0,0.0,6.0,1.0,20.0,3.0
1987-02-08,44.0,4.0,13.760065108,13.080029417999999,6.092712328999999,19.150207476,1097.78054387,23.0,1.0,13.0,1.0,8.0,2.0
1987-02-09,35.0,3.0,,13.760065108,,24.6758456204,713.1481887,14.0,0.0,8.0,1.0,13.0,2.0
1987-02-10,43.0,3.0,26.260065108000003,,11.092712329000001,19.452228730999998,1186.34497837,17.0,1.0,11.0,0.0,15.0,2.0
1987-02-11,52.0,3.0,9.080029417999999,26.260065108000003,,19.29417894,529.2985236000001,17.0,2.0,7.0,0.0,28.0,1.0
1987-02-12,33.0,1.0,24.260065108000003,9.080029417999999,11.092712329000001,15.830022188,1385.66059834,17.0,0.0,5.0,0.0,11.0,1.0
1987-02-13,30.0,2.0,,24.260065108000003,,14.995712459000002,996.316831683,10.0,1.0,8.0,1.0,12.0,0.0
1987-02-14,29.0,2.0,3.080029418,,,17.858975889,414.7841132,12.0,0.0,4.0,0.0,13.0,2.0
1987-02-15,33.0,2.0,8.080029417999999,3.080029418,,25.0077226435,297.2754934,14.0,0.0,10.0,2.0,9.0,0.0
1987-02-16,37.0,5.0,4.760065108,8.080029417999999,4.092712328999999,11.956635092,576.013965,15.0,0.0,8.0,1.0,14.0,4.0
1987-02-17,39.0,5.0,,4.760065108,,15.821464098,595.381554,12.0,1.0,7.0,2.0,20.0,2.0
1987-02-18,36.0,1.0,19.260065108,,16.0927123288,17.192990249,929.49050058,15.0,0.0,10.0,1.0,11.0,0.0
1987-02-19,38.0,1.0,22.080029414000002,19.260065108,,9.423931782,871.767675,14.0,1.0,7.0,0.0,17.0,0.0
1987-02-20,44.0,2.0,6.080029418,22.080029414000002,,11.474356442000001,1044.242725962,22.0,0.0,6.0,0.0,16.0,2.0
1987-02-21,42.0,0.0,6.080029418,6.080029418,,11.405316912,881.237372,15.0,0.0,16.0,0.0,11.0,0.0
1987-02-22,38.0,1.0,6.080029418,6.080029418,,22.363117926999998,834.3899166,10.0,0.0,9.0,1.0,19.0,0.0
1987-02-23,41.0,3.0,,6.080029418,,20.763461418,958.90871892,18.0,0.0,9.0,0.0,14.0,3.0
1987-02-24,54.0,1.0,9.260065108,,8.092712329,18.883243554,720.0631526000001,15.0,0.0,13.0,0.0,26.0,1.0
1987-02-25,44.0,0.0,5.0800294180000005,9.260065108,,9.229696662,686.6895025,13.0,0.0,16.0,0.0,15.0,0.0
1987-02-26,39.0,2.0,11.760065108,5.0800294180000005,6.092712328999999,9.388029022000001,999.1304951569999,16.0,0.0,4.0,1.0,19.0,1.0
1987-02-27,48.0,4.0,,11.760065108,,7.293691772000001,701.166382,24.0,1.0,10.0,2.0,14.0,1.0
1987-02-28,31.0,2.0,2.760065108,,2.09271233,31.544204379099998,419.62397819999995,11.0,0.0,10.0,1.0,10.0,1.0
1987-03-01,39.0,0.0,6.080029418,2.760065108,,24.0831407387,385.7855944,13.0,0.0,8.0,0.0,18.0,0.0
1987-03-02,42.0,4.0,23.760065108000003,6.080029418,19.0927123288,30.7545420258,731.8900854,14.0,2.0,9.0,1.0,19.0,1.0
1987-03-03,27.0,2.0,,23.760065108000003,,25.2535031531,1161.05675205,9.0,0.0,7.0,1.0,11.0,1.0
1987-03-04,42.0,5.0,24.260065108000003,,16.0927123288,28.4977031423,903.27400304,15.0,0.0,8.0,1.0,19.0,4.0
1987-03-05,39.0,3.0,37.0800294142,24.260065108000003,,31.557111368,1287.04729497,16.0,0.0,10.0,1.0,13.0,2.0
1987-03-06,49.0,2.0,37.0800294142,37.0800294142,,27.9435406327,1705.80312886,28.0,1.0,10.0,1.0,11.0,0.0
1987-03-07,44.0,3.0,13.080029417999999,37.0800294142,,28.6457959777,1030.873597901,20.0,0.0,9.0,1.0,15.0,2.0
1987-03-08,42.0,5.0,24.260065108000003,13.080029417999999,19.0927123288,32.2600739719,934.66147669,23.0,1.0,5.0,2.0,14.0,2.0
1987-03-09,42.0,3.0,,24.260065108000003,,26.8988756591,1270.14127467,12.0,1.0,16.0,1.0,14.0,1.0
1987-03-10,45.0,3.0,15.760065108,,0.0927123299999995,23.339493173,654.2693449,14.0,0.0,15.0,1.0,16.0,2.0
1987-03-11,36.0,4.0,19.080029414000002,15.760065108,,9.855725942000001,682.6147231000001,13.0,0.0,7.0,1.0,16.0,3.0
1987-03-12,42.0,3.0,30.760065107800003,19.080029414000002,22.0927123288,24.0333152025,1876.63222048,16.0,1.0,6.0,0.0,20.0,2.0
1987-03-13,36.0,4.0,,30.760065107800003,,28.283660624299998,1344.95351594,14.0,0.0,6.0,1.0,16.0,3.0
1987-03-14,47.0,2.0,18.080029418,,,30.7553016512,875.6005951999999,15.0,1.0,6.0,0.0,26.0,1.0
1987-03-15,42.0,4.0,8.080029417999999,18.080029418,,30.1515851472,502.4577967,15.0,2.0,8.0,1.0,19.0,1.0
1987-03-16,40.0,4.0,27.260065108000003,8.080029417999999,11.092712329000001,27.219936256999997,489.8610999,18.0,0.0,11.0,1.0,11.0,3.0
1987-03-17,33.0,2.0,13.080029417999999,27.260065108000003,,27.7284892415,925.25399609,18.0,1.0,4.0,0.0,11.0,1.0
1987-03-18,31.0,0.0,17.080029418,13.080029417999999,,20.421833848,1325.80420457,12.0,0.0,10.0,0.0,9.0,0.0
