date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,184.0,28.0,,,,8.100095402,4095.6873835,52.0,3.0,41.0,5.0,91.0,20.0
1987-01-02,190.0,12.0,,,,12.805265082,3545.7780772,54.0,4.0,35.0,2.0,101.0,6.0
1987-01-03,175.0,14.0,60.0788177336,,,13.478424122,2599.6103353,56.0,2.0,35.0,6.0,84.0,6.0
1987-01-04,171.0,16.0,,60.0788177336,,5.726148352,826.3414378,53.0,6.0,42.0,7.0,76.0,3.0
1987-01-05,162.0,17.0,,,,6.864277352,1650.1707875070001,52.0,4.0,30.0,1.0,80.0,12.0
1987-01-06,174.0,17.0,,,,1.249177382,2230.85955942,51.0,4.0,25.0,2.0,98.0,11.0
1987-01-07,145.0,10.0,,,,5.589535132000001,2041.02519093,42.0,3.0,36.0,1.0,67.0,6.0
1987-01-08,187.0,9.0,,,,6.4446076020000005,2966.8399120999998,56.0,2.0,44.0,3.0,87.0,4.0
1987-01-09,183.0,14.0,64.157635468,,,6.590432162000001,3659.6652694,59.0,2.0,35.0,3.0,89.0,9.0
1987-01-10,173.0,12.0,63.0,64.157635468,,10.157272072,3621.0179264,41.0,0.0,33.0,3.0,99.0,9.0
1987-01-11,158.0,15.0,,63.0,,9.938584142,1915.70391673,31.0,1.0,45.0,4.0,82.0,10.0
1987-01-12,185.0,23.0,,,,5.621834532,3008.2165579999996,47.0,6.0,47.0,7.0,91.0,10.0
1987-01-13,170.0,16.0,,,,2.988468942,3849.3105719000005,40.0,3.0,40.0,5.0,90.0,8.0
1987-01-14,174.0,15.0,,,,6.511820192,3579.2270196000004,42.0,1.0,31.0,4.0,101.0,10.0
1987-01-15,180.0,13.0,30.078817730999997,,,9.794362422,1197.0216825,62.0,5.0,37.0,2.0,81.0,6.0
1987-01-16,179.0,23.0,,30.078817730999997,,10.661176092,1171.179173,45.0,2.0,38.0,7.0,96.0,14.0
1987-01-17,170.0,20.0,,,,7.277823152000001,2442.27396504,53.0,4.0,39.0,4.0,78.0,12.0
1987-01-18,196.0,26.0,,,,8.414990372,2350.46840189,48.0,5.0,44.0,7.0,104.0,14.0
1987-01-19,177.0,18.0,,,,10.774008452,2679.5438166,49.0,3.0,36.0,6.0,92.0,9.0
1987-01-20,162.0,14.0,,,,10.086662202000001,2115.95973143,50.0,1.0,31.0,2.0,81.0,11.0
1987-01-21,163.0,18.0,91.078817734,,,5.302993952,3990.105816,40.0,1.0,40.0,5.0,83.0,12.0
1987-01-22,166.0,17.0,,91.078817734,,3.386383512,4748.1207478999995,43.0,1.0,27.0,6.0,96.0,10.0
1987-01-23,166.0,10.0,,,,3.458421102,3095.9468349,42.0,1.0,42.0,2.0,82.0,7.0
1987-01-24,179.0,18.0,,,,9.468792102,2975.173888,31.0,1.0,38.0,2.0,110.0,15.0
1987-01-25,164.0,14.0,,,,14.338357323,3371.3091537,49.0,1.0,39.0,2.0,76.0,11.0
1987-01-26,184.0,20.0,,,,7.258638672000001,3136.6709289,43.0,2.0,32.0,1.0,109.0,17.0
1987-01-27,173.0,16.0,114.51970443299999,,,1.172987982,5153.5828142,47.0,1.0,39.0,6.0,87.0,9.0
1987-01-28,180.0,12.0,,114.51970443299999,,6.3053670020000006,1464.5855465,59.0,2.0,42.0,1.0,79.0,9.0
1987-01-29,172.0,18.0,,,,5.365387632,1645.4019944729998,49.0,3.0,31.0,4.0,92.0,11.0
1987-01-30,190.0,21.0,,,,5.373029392,1560.87643472,46.0,2.0,45.0,11.0,99.0,8.0
