date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,39.0,2.0,,,,26.540760869,358.18289849999996,10.0,1.0,10.0,0.0,19.0,1.0
1987-01-02,53.0,1.0,,,,25.775,1241.8171015,17.0,1.0,5.0,0.0,31.0,0.0
1987-01-03,57.0,4.0,21.939285714,,,30.2857142852,1878.94840772,5.0,0.0,18.0,2.0,34.0,2.0
1987-01-04,64.0,3.0,,21.939285714,,24.027777776999997,2045.98376817,14.0,0.0,11.0,0.0,39.0,3.0
1987-01-05,62.0,6.0,,,,22.359848484,670.6828985000001,21.0,0.0,7.0,2.0,34.0,4.0
1987-01-06,46.0,3.0,,,,21.875,967.78434778,14.0,0.0,8.0,1.0,24.0,2.0
1987-01-07,61.0,3.0,,,,13.17028985,2570.6828984999997,14.0,2.0,8.0,0.0,39.0,1.0
1987-01-08,47.0,4.0,,,,15.41071429,2598.2191304000003,7.0,0.0,16.0,2.0,24.0,2.0
1987-01-09,46.0,4.0,37.939285714,,,15.73913043,2775.1504348000003,11.0,1.0,13.0,0.0,22.0,3.0
1987-01-10,40.0,1.0,,37.939285714,,17.363970588,2104.3171015000003,12.0,0.0,9.0,0.0,19.0,1.0
1987-01-11,45.0,4.0,,,,24.708333333000002,112.3495652,13.0,1.0,8.0,1.0,24.0,2.0
1987-01-12,47.0,1.0,,,,18.505882352,1087.650434833,10.0,0.0,12.0,1.0,25.0,0.0
1987-01-13,48.0,4.0,,,,20.866666666,2112.6504348000003,13.0,1.0,7.0,0.0,28.0,3.0
1987-01-14,61.0,6.0,,,,20.586309523,2023.52000005,15.0,0.0,8.0,2.0,38.0,4.0
1987-01-15,51.0,2.0,18.939285714,,,23.830043859,1188.73739135,11.0,1.0,13.0,0.0,27.0,1.0
1987-01-16,47.0,3.0,,18.939285714,,16.29166667,2325.1504348000003,14.0,2.0,6.0,0.0,27.0,1.0
1987-01-17,48.0,4.0,,,,15.64583333,1012.34956517,14.0,0.0,9.0,0.0,25.0,4.0
1987-01-18,49.0,3.0,,,,17.458333333,574.8495652,16.0,1.0,9.0,1.0,24.0,1.0
1987-01-19,46.0,6.0,,,,17.104166665999998,795.6828985000001,11.0,3.0,11.0,1.0,24.0,2.0
1987-01-20,44.0,3.0,,,,13.1875,1716.51623184,13.0,2.0,7.0,0.0,24.0,1.0
1987-01-21,60.0,4.0,14.93928571,,,17.208333333,1049.849565171,19.0,0.0,13.0,1.0,28.0,3.0
1987-01-22,43.0,4.0,,14.93928571,,23.645833333000002,562.2817411,11.0,1.0,8.0,1.0,24.0,2.0
1987-01-23,39.0,1.0,,,,25.708333333000002,1212.65043483,10.0,0.0,6.0,0.0,23.0,1.0
1987-01-24,44.0,1.0,,,,28.3014705878,1333.48376817,12.0,1.0,13.0,0.0,19.0,0.0
1987-01-25,49.0,2.0,,,,29.624999999499998,687.3495652,10.0,1.0,14.0,0.0,25.0,1.0
1987-01-26,42.0,4.0,,,,29.5208333329,624.8495652,7.0,1.0,6.0,0.0,29.0,3.0
1987-01-27,47.0,4.0,34.9392857143,,,22.0625,1050.150434833,5.0,0.0,14.0,0.0,28.0,4.0
1987-01-28,39.0,4.0,,34.9392857143,,28.2318295735,1616.8171015,7.0,2.0,7.0,0.0,25.0,2.0
1987-01-29,42.0,4.0,,,,20.791666665999998,3140.9113044,8.0,1.0,8.0,0.0,26.0,3.0
1987-01-30,49.0,0.0,,,,23.25,2320.6150744,8.0,0.0,12.0,0.0,29.0,0.0
1987-01-31,46.0,2.0,,,,23.479166665999998,1262.28174105,10.0,0.0,7.0,0.0,29.0,2.0
1987-02-01,43.0,3.0,,,,19.729166665999998,1483.1828985,8.0,0.0,8.0,0.0,27.0,3.0
1987-02-02,43.0,4.0,24.939285714,,,26.395833333000002,574.8495652,7.0,1.0,12.0,0.0,24.0,3.0
1987-02-03,49.0,4.0,,24.939285714,,15.95833333,624.7817411,10.0,0.0,7.0,0.0,32.0,4.0
1987-02-04,54.0,3.0,,,,22.4375,1800.15043483,7.0,1.0,9.0,1.0,38.0,1.0
1987-02-05,47.0,3.0,,,,28.5909090904,904.0162318,11.0,0.0,10.0,1.0,26.0,2.0
1987-02-06,43.0,0.0,,,,18.8125,962.28174105,15.0,0.0,8.0,0.0,20.0,0.0
1987-02-07,42.0,4.0,,,,18.729166665999998,922.8827546,10.0,0.0,6.0,2.0,26.0,2.0
1987-02-08,50.0,4.0,12.93928571,,,29.138257575300003,377.0494213,14.0,1.0,11.0,0.0,25.0,3.0
1987-02-09,41.0,4.0,,12.93928571,,30.8958333329,1222.88275461,11.0,0.0,10.0,0.0,20.0,4.0
1987-02-10,48.0,3.0,,,,28.2083333329,1381.21608794,8.0,1.0,13.0,0.0,27.0,2.0
1987-02-11,48.0,5.0,,,,21.166666665999998,2337.4660879000003,12.0,1.0,13.0,2.0,23.0,2.0
1987-02-12,37.0,4.0,,,,22.670454545,2124.3979061,6.0,1.0,3.0,0.0,28.0,3.0
1987-02-13,37.0,5.0,,,,33.7083333329,1154.3171015,8.0,0.0,5.0,0.0,24.0,5.0
1987-02-14,47.0,1.0,23.939285714,,,27.3894927531,1537.34956517,10.0,0.0,5.0,0.0,32.0,1.0
1987-02-15,54.0,6.0,,23.939285714,,17.9375,1829.01623184,13.0,2.0,12.0,1.0,29.0,3.0
1987-02-16,55.0,4.0,,,,18.600543478,16.5162316999999,14.0,0.0,12.0,1.0,29.0,3.0
1987-02-17,41.0,1.0,,,,36.2916666662,1187.34956517,9.0,0.0,13.0,0.0,19.0,1.0
1987-02-18,37.0,5.0,,,,25.144021739,1304.01623184,6.0,2.0,9.0,1.0,22.0,2.0
1987-02-19,38.0,3.0,,,,23.895833333000002,1070.682898504,7.0,0.0,9.0,0.0,22.0,3.0
1987-02-20,47.0,8.0,20.939285714,,,27.098484848000002,974.84956517,14.0,2.0,8.0,2.0,25.0,4.0
1987-02-21,48.0,3.0,,20.939285714,,12.20833333,694.2293822,11.0,0.0,6.0,1.0,31.0,2.0
1987-02-22,42.0,4.0,,,,12.5,1412.86764706,13.0,0.0,9.0,1.0,20.0,3.0
1987-02-23,44.0,0.0,,,,31.6603260865,779.1666667000001,8.0,0.0,5.0,0.0,31.0,0.0
1987-02-24,23.0,1.0,,,,37.642045454,1008.33333334,3.0,1.0,5.0,0.0,15.0,0.0
1987-02-25,37.0,1.0,,,,34.6893939389,1220.6828985,11.0,0.0,9.0,0.0,17.0,1.0
1987-02-26,37.0,4.0,25.939285714,,,34.2916666662,753.5595257,10.0,0.0,10.0,1.0,17.0,3.0
1987-02-27,47.0,3.0,,25.939285714,,33.3333333329,937.6504348,10.0,0.0,8.0,2.0,29.0,1.0
1987-02-28,34.0,6.0,,,,33.7708333329,675.1504348,6.0,1.0,10.0,2.0,18.0,3.0
1987-03-01,51.0,4.0,,,,27.7083333329,429.0162318,17.0,1.0,11.0,1.0,23.0,2.0
1987-03-02,47.0,2.0,,,,17.004528985,1554.01623184,11.0,0.0,11.0,0.0,25.0,2.0
1987-03-03,45.0,5.0,,,,25.895833333000002,1516.51623184,12.0,3.0,7.0,0.0,26.0,2.0
1987-03-04,50.0,5.0,21.939285714,,,33.9166666662,1166.8171015,12.0,0.0,12.0,3.0,26.0,2.0
1987-03-05,46.0,6.0,,21.939285714,,43.020833333,1210.38275461,14.0,0.0,12.0,2.0,20.0,4.0
1987-03-06,53.0,4.0,,,,39.75,880.206708,17.0,0.0,11.0,2.0,25.0,2.0
1987-03-07,53.0,5.0,,,,30.979166666199998,674.8495652,19.0,2.0,10.0,0.0,24.0,3.0
1987-03-08,35.0,3.0,,,,30.2708333329,258.18289849999996,3.0,0.0,7.0,1.0,25.0,2.0
1987-03-09,43.0,5.0,,,,26.879528985,779.0162318,9.0,0.0,13.0,1.0,21.0,4.0
1987-03-10,44.0,2.0,29.9392857143,,,50.721590909,1033.48376817,14.0,0.0,5.0,0.0,25.0,2.0
1987-03-11,35.0,4.0,,29.9392857143,,54.787137681000004,1849.78174105,8.0,0.0,6.0,2.0,21.0,2.0
1987-03-12,39.0,5.0,,,,35.2499999995,1511.26260865,6.0,0.0,10.0,0.0,23.0,5.0
1987-03-13,35.0,0.0,,,,31.5083333329,1104.016231838,9.0,0.0,6.0,0.0,20.0,0.0
1987-03-14,44.0,2.0,,,,42.395833333,895.6150743999999,11.0,0.0,9.0,1.0,24.0,1.0
1987-03-15,36.0,4.0,,,,44.6875,1300.15043483,8.0,1.0,14.0,2.0,14.0,1.0
1987-03-16,45.0,3.0,35.9392857143,,,32.9128787874,1725.15043483,5.0,0.0,8.0,0.0,32.0,3.0
1987-03-17,38.0,1.0,,35.9392857143,,44.9375,770.9837682,11.0,0.0,6.0,0.0,21.0,1.0
1987-03-18,38.0,2.0,,,,40.125,825.1504348,13.0,2.0,6.0,0.0,19.0,0.0
1987-03-19,44.0,3.0,,,,30.166666666199998,729.0162318,16.0,1.0,6.0,0.0,22.0,2.0
