date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,33.0,2.0,14.465408808,,,,1115.5566687,6.0,1.0,9.0,1.0,18.0,0.0
1987-01-02,38.0,5.0,21.378503818,14.465408808,,,2240.55666872,9.0,2.0,9.0,0.0,20.0,3.0
1987-01-03,24.0,2.0,31.243700415,21.378503818,,,1482.22333538,3.0,0.0,6.0,0.0,15.0,2.0
1987-01-04,40.0,1.0,,31.243700415,,,690.5566687,8.0,0.0,9.0,0.0,23.0,1.0
1987-01-05,32.0,5.0,32.421956311500004,,,,1224.2523209,5.0,0.0,9.0,1.0,18.0,4.0
1987-01-06,31.0,8.0,,32.421956311500004,,,1265.55666872,10.0,0.0,6.0,1.0,15.0,7.0
1987-01-07,39.0,7.0,13.421956308,,,,1748.89000205,5.0,0.0,7.0,1.0,27.0,6.0
1987-01-08,33.0,2.0,9.378503817999999,13.421956308,,,1732.22333538,13.0,1.0,3.0,0.0,17.0,1.0
1987-01-09,24.0,1.0,25.935391066999998,9.378503817999999,,,1590.55666872,2.0,0.0,3.0,0.0,19.0,1.0
1987-01-10,32.0,5.0,10.378503817999999,25.935391066999998,,,1142.3555899,3.0,0.0,5.0,2.0,24.0,3.0
1987-01-11,30.0,2.0,23.921956311,10.378503817999999,,,1153.0566687,10.0,0.0,6.0,0.0,14.0,2.0
1987-01-12,35.0,1.0,45.378503818,23.921956311,,,3139.3661925,5.0,1.0,5.0,0.0,25.0,0.0
1987-01-13,25.0,2.0,35.3785038178,45.378503818,,,2311.39000205,7.0,1.0,6.0,0.0,12.0,1.0
1987-01-14,25.0,4.0,26.378503818000002,35.3785038178,,,1607.22333538,6.0,2.0,4.0,0.0,15.0,2.0
1987-01-15,28.0,1.0,19.780017018,26.378503818000002,,,1563.38275567,3.0,0.0,4.0,0.0,21.0,1.0
1987-01-16,33.0,4.0,33.3785038178,19.780017018,,,1832.22333538,5.0,0.0,3.0,0.0,25.0,4.0
1987-01-17,29.0,3.0,24.921956311,33.3785038178,,,1557.22333538,7.0,0.0,6.0,0.0,16.0,3.0
1987-01-18,29.0,3.0,,24.921956311,,,1765.55666872,3.0,0.0,1.0,0.0,25.0,3.0
1987-01-19,31.0,3.0,28.465408805,,,,1157.2233354,7.0,0.0,4.0,0.0,20.0,3.0
1987-01-20,35.0,6.0,,28.465408805,,,1607.22333538,5.0,1.0,3.0,0.0,27.0,5.0
1987-01-21,32.0,,21.819272994000002,,,,1502.51319046,8.0,0.0,11.0,,13.0,2.0
1987-01-22,26.0,3.0,17.378503818,21.819272994000002,,,1340.5566687169999,4.0,1.0,7.0,1.0,15.0,1.0
1987-01-23,29.0,4.0,37.465408805100004,17.378503818,,,1632.22333538,4.0,0.0,6.0,0.0,19.0,4.0
1987-01-24,27.0,1.0,22.378503818000002,37.465408805100004,,,1200.6889232,1.0,0.0,8.0,1.0,18.0,0.0
1987-01-25,32.0,5.0,24.421956311,22.378503818000002,,,1056.1578231,4.0,0.0,5.0,0.0,23.0,5.0
1987-01-26,30.0,2.0,,24.421956311,,,1454.56150565,7.0,0.0,8.0,0.0,15.0,2.0
1987-01-27,28.0,5.0,22.848241323000003,,,,1406.8610165429998,3.0,0.0,4.0,0.0,21.0,5.0
