date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,7.0,0.0,51.21417638,,,3.854166671,1258.18802537,1.0,0.0,3.0,0.0,3.0,0.0
1987-01-02,11.0,2.0,,51.21417638,,5.270833331,1019.10127278,1.0,0.0,3.0,0.0,7.0,2.0
1987-01-03,13.0,1.0,25.214176376999998,,18.8126690566,7.187500001,1083.33333329,8.0,0.0,3.0,0.0,2.0,1.0
1987-01-04,8.0,1.0,,25.214176376999998,,8.937500001,645.8333332999999,2.0,0.0,2.0,0.0,4.0,1.0
1987-01-05,7.0,1.0,126.21417638,,,5.062500001,2758.1880254000002,1.0,0.0,1.0,0.0,5.0,1.0
1987-01-06,17.0,2.0,,126.21417638,,13.729166666,1570.68802537,5.0,0.0,4.0,0.0,8.0,2.0
1987-01-07,12.0,2.0,31.21417638,,,8.395833331,977.4346061000001,1.0,1.0,3.0,0.0,8.0,1.0
1987-01-08,13.0,2.0,,31.21417638,,7.937500001,1352.43460612,5.0,0.0,4.0,0.0,4.0,2.0
1987-01-09,12.0,1.0,41.2141763804,,18.8126690566,9.145833331,977.4346061000001,5.0,0.0,5.0,1.0,2.0,0.0
1987-01-10,15.0,1.0,,41.2141763804,,11.041666666,500.0,5.0,1.0,2.0,0.0,8.0,0.0
1987-01-11,4.0,0.0,,,,12.1875,500.0,1.0,0.0,1.0,0.0,2.0,0.0
1987-01-12,11.0,0.0,,,,9.291666671,1799.85469204,2.0,0.0,2.0,0.0,7.0,0.0
1987-01-13,10.0,1.0,96.21417638,,,9.513586956000001,4216.5213587,2.0,0.0,3.0,0.0,5.0,1.0
1987-01-14,17.0,1.0,,96.21417638,,13.645833332999999,1779.02135871,9.0,0.0,1.0,0.0,7.0,1.0
1987-01-15,9.0,1.0,9.214176377000001,,-1.187330942,8.734601451,998.2679393999999,5.0,0.0,1.0,0.0,3.0,1.0
1987-01-16,10.0,1.0,,9.214176377000001,,5.166666671000001,852.4346061000001,2.0,0.0,2.0,0.0,6.0,1.0
1987-01-17,6.0,0.0,28.21417638,,,5.625000001,541.6666666,2.0,0.0,1.0,0.0,3.0,0.0
1987-01-18,15.0,1.0,,28.21417638,,4.979166671000001,583.3333332999999,4.0,0.0,2.0,0.0,9.0,1.0
1987-01-19,9.0,0.0,,,,9.604166666,562.5,5.0,0.0,1.0,0.0,3.0,0.0
1987-01-20,8.0,1.0,,,,11.9375,1519.10127278,2.0,0.0,2.0,1.0,4.0,0.0
1987-01-21,11.0,0.0,56.21417638,,,8.083333331,1519.10127278,1.0,0.0,3.0,0.0,7.0,0.0
1987-01-22,11.0,1.0,,56.21417638,,10.020833332999999,1019.10127278,5.0,1.0,1.0,0.0,5.0,0.0
1987-01-23,14.0,2.0,28.21417638,,,15.270833332999999,769.1012728,5.0,0.0,2.0,1.0,7.0,1.0
1987-01-24,13.0,4.0,,28.21417638,,10.0,895.8333332999998,2.0,0.0,5.0,1.0,6.0,3.0
1987-01-25,16.0,1.0,,,,12.604166666,500.0,4.0,0.0,5.0,1.0,7.0,0.0
1987-01-26,12.0,3.0,,,,18.520833333,841.5213587000002,0.0,0.0,4.0,0.0,8.0,3.0
1987-01-27,12.0,0.0,66.21417638,,,13.875,1583.33333329,3.0,0.0,1.0,0.0,8.0,0.0
1987-01-28,9.0,0.0,,66.21417638,,13.333333332999999,1723.0486412,3.0,0.0,1.0,0.0,5.0,0.0
1987-01-29,15.0,2.0,32.21417638,,,18.541666665999998,769.1012728,4.0,0.0,6.0,1.0,5.0,1.0
1987-01-30,17.0,0.0,,32.21417638,,20.7907608693,1070.68802537,5.0,0.0,5.0,0.0,7.0,0.0
1987-01-31,11.0,2.0,36.21417638,,,24.479166666399998,1208.333333295,4.0,1.0,1.0,0.0,6.0,1.0
1987-02-01,11.0,3.0,,36.21417638,,15.199667697,1087.4273460000002,2.0,1.0,3.0,0.0,6.0,2.0
1987-02-02,13.0,1.0,16.214176377,,12.812669057,7.491334361,1754.09401267,2.0,1.0,2.0,0.0,9.0,0.0
1987-02-03,15.0,2.0,,16.214176377,,11.866334363,894.1012728000001,5.0,0.0,5.0,1.0,5.0,1.0
1987-02-04,15.0,2.0,39.2141763804,,,12.90800103,666.6666666,1.0,0.0,5.0,2.0,9.0,0.0
1987-02-05,6.0,1.0,,39.2141763804,,18.324667697,1333.33333329,2.0,1.0,1.0,0.0,3.0,0.0
1987-02-06,16.0,1.0,,,,6.449667701,2062.49999996,3.0,0.0,3.0,0.0,10.0,1.0
1987-02-07,11.0,2.0,,,,11.866334363,1529.02135871,3.0,0.0,2.0,0.0,6.0,2.0
1987-02-08,18.0,2.0,3.214176377,,2.812669058,22.9080010299,625.0,3.0,0.0,3.0,1.0,12.0,1.0
1987-02-09,8.0,1.0,,3.214176377,,16.03300103,1249.99999996,1.0,0.0,1.0,0.0,6.0,1.0
1987-02-10,13.0,2.0,78.21417638,,,14.991334363,4208.3333333,3.0,0.0,5.0,1.0,5.0,1.0
1987-02-11,6.0,0.0,,78.21417638,,20.199667696600002,2383.1880254000002,2.0,0.0,3.0,0.0,1.0,0.0
1987-02-12,10.0,1.0,,,,22.9080010299,674.854692,5.0,1.0,3.0,0.0,2.0,0.0
1987-02-13,14.0,2.0,,,,13.741334363,1941.59401267,2.0,0.0,1.0,0.0,11.0,2.0
1987-02-14,13.0,2.0,42.2141763804,,18.8126690566,15.616334363,743.677346,7.0,1.0,1.0,0.0,5.0,1.0
1987-02-15,13.0,1.0,,42.2141763804,,21.2413343633,-204.23932019999998,3.0,0.0,3.0,0.0,7.0,1.0
1987-02-16,17.0,2.0,,,,6.658001031,1014.5106793,6.0,1.0,4.0,0.0,7.0,1.0
1987-02-17,9.0,1.0,,,,2.574667701,1465.52984421,2.0,0.0,4.0,1.0,3.0,0.0
1987-02-18,11.0,0.0,36.21417638,,,2.699667701,935.7679393999999,4.0,0.0,2.0,0.0,5.0,0.0
1987-02-19,8.0,1.0,,36.21417638,,3.324667701,1560.76793945,4.0,0.0,1.0,0.0,3.0,1.0
1987-02-20,12.0,3.0,56.21417638,,38.812669057,6.449667701,1123.2679394491001,1.0,0.0,4.0,1.0,7.0,2.0
1987-02-21,11.0,0.0,,56.21417638,,10.824667697,1279.02135871,5.0,0.0,1.0,0.0,5.0,0.0
1987-02-22,12.0,0.0,,,,7.491334361,727.4346061000001,4.0,0.0,1.0,0.0,7.0,0.0
1987-02-23,9.0,0.0,,,,12.699667697,1124.9999999613,3.0,0.0,3.0,0.0,3.0,0.0
1987-02-24,10.0,0.0,69.21417638,,,7.991334361,1320.68802537,4.0,0.0,3.0,0.0,3.0,0.0
1987-02-25,8.0,0.0,,69.21417638,,10.991334363,1862.35469204,4.0,0.0,0.0,0.0,4.0,0.0
1987-02-26,12.0,3.0,38.2141763804,,28.812669056999997,10.699667697,625.0,2.0,0.0,1.0,0.0,9.0,3.0
1987-02-27,9.0,1.0,,38.2141763804,,15.199667697,644.1012728,4.0,0.0,3.0,1.0,2.0,0.0
1987-02-28,8.0,1.0,7.214176377,,,19.366334363,500.0,3.0,1.0,1.0,0.0,4.0,0.0
