date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,222.0,16.0,,,,6.468108503,1338.0148687,73.0,6.0,44.0,2.0,105.0,8.0
1987-01-02,246.0,15.0,,,,11.343108505,1545.0736418,68.0,5.0,60.0,4.0,118.0,6.0
1987-01-03,214.0,13.0,13.066657901,,6.006167586,13.541266037,1318.1002795999998,56.0,3.0,50.0,1.0,108.0,9.0
1987-01-04,208.0,18.0,,13.066657901,,10.72032899,1535.0755974,55.0,3.0,46.0,4.0,107.0,11.0
1987-01-05,228.0,19.0,,,,9.178662323,1895.6365114999999,60.0,4.0,46.0,2.0,122.0,13.0
1987-01-06,245.0,19.0,,,,4.780608503,2990.27303722,80.0,3.0,56.0,5.0,109.0,11.0
1987-01-07,236.0,27.0,,,,4.462673723,2596.69888205,64.0,5.0,47.0,5.0,125.0,17.0
1987-01-08,224.0,17.0,,,,13.762856946,2046.5603407,63.0,2.0,42.0,0.0,119.0,15.0
1987-01-09,202.0,19.0,31.6259440441,,20.6275710948,3.024267923,2871.62267935,64.0,5.0,43.0,4.0,95.0,10.0
1987-01-10,209.0,19.0,,31.6259440441,,3.134775173,2377.9568103429997,65.0,3.0,41.0,3.0,103.0,13.0
1987-01-11,226.0,25.0,,,,7.530608503,1283.72528,76.0,8.0,36.0,2.0,114.0,15.0
1987-01-12,224.0,17.0,,,,9.270432702999999,2153.9563112,71.0,1.0,44.0,4.0,109.0,12.0
1987-01-13,224.0,11.0,,,,14.114635602,1737.3349344,74.0,3.0,44.0,3.0,106.0,5.0
1987-01-14,239.0,19.0,,,,5.238941843,2632.74775686,72.0,3.0,43.0,5.0,124.0,11.0
1987-01-15,226.0,24.0,35.2131929635,,22.3033910795,2.9681085030000003,2687.88585458,71.0,7.0,48.0,5.0,107.0,12.0
1987-01-16,238.0,21.0,,35.2131929635,,11.041266037,1959.9454467,74.0,7.0,59.0,4.0,105.0,10.0
1987-01-17,216.0,13.0,,,,17.31209937,1743.7389199000002,80.0,3.0,50.0,3.0,86.0,7.0
1987-01-18,208.0,19.0,,,,6.574495653,1974.4273257,72.0,6.0,32.0,1.0,104.0,12.0
1987-01-19,218.0,16.0,,,,5.020432703,2155.6002796,74.0,4.0,44.0,2.0,100.0,10.0
1987-01-20,240.0,22.0,,,,6.870976183,2374.060097009,78.0,5.0,51.0,4.0,111.0,13.0
1987-01-21,231.0,17.0,34.875944044099995,,24.6275710948,5.968108503,2698.64343034,70.0,7.0,48.0,0.0,113.0,10.0
1987-01-22,221.0,19.0,,34.875944044099995,,7.187099373,1834.6449831,69.0,4.0,51.0,6.0,101.0,9.0
1987-01-23,233.0,23.0,,,,13.986012413,1067.0622779999999,75.0,8.0,44.0,0.0,114.0,15.0
1987-01-24,235.0,22.0,,,,16.395432703,902.478945,71.0,6.0,48.0,3.0,116.0,13.0
1987-01-25,218.0,18.0,,,,7.770432702999999,1632.9959293,68.0,4.0,40.0,1.0,110.0,13.0
1987-01-26,236.0,18.0,,,,14.49959937,918.317899,61.0,4.0,64.0,2.0,111.0,12.0
1987-01-27,226.0,18.0,31.8909440441,,15.979211064000001,10.582932702999999,2412.63648755,78.0,4.0,43.0,5.0,105.0,9.0
1987-01-28,230.0,19.0,,31.8909440441,,7.843108503,2966.61944522,71.0,3.0,42.0,6.0,117.0,10.0
1987-01-29,226.0,16.0,,,,5.720002442999999,2955.16111188,65.0,4.0,52.0,4.0,109.0,8.0
1987-01-30,219.0,13.0,,,,5.127525963,3912.6017636999995,81.0,1.0,46.0,3.0,92.0,9.0
1987-01-31,235.0,11.0,,,,7.912589562999999,1842.3278011,75.0,1.0,54.0,5.0,106.0,5.0
1987-02-01,189.0,16.0,,,,15.645432702999999,1538.1760371,59.0,3.0,48.0,4.0,82.0,9.0
1987-02-02,234.0,14.0,61.87594404399999,,49.979211064,6.248106762999999,3206.51043873,73.0,2.0,43.0,3.0,118.0,9.0
