date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,24.0,2.0,,,,3.57976508,1833.33333338,4.0,0.0,8.0,1.0,12.0,1.0
1987-01-02,18.0,2.0,,,,5.03809841,1351.95102118,5.0,0.0,3.0,1.0,10.0,1.0
1987-01-03,22.0,3.0,,,,12.746431747,1541.66666671,4.0,0.0,4.0,3.0,14.0,0.0
1987-01-04,16.0,1.0,,,,6.91309841,1333.33333338,2.0,0.0,3.0,0.0,11.0,1.0
1987-01-05,31.0,2.0,,,,5.20114189,1958.33333338,12.0,0.0,3.0,1.0,16.0,1.0
1987-01-06,26.0,3.0,,,,6.43961356,1125.00000005,9.0,0.0,4.0,1.0,13.0,2.0
1987-01-07,22.0,1.0,,,,7.293533196,2705.2118907,3.0,0.0,9.0,0.0,10.0,1.0
1987-01-08,29.0,1.0,,,,5.45476508,2114.2056587,12.0,0.0,4.0,0.0,13.0,1.0
1987-01-09,24.0,2.0,,,,12.32976508,1489.2056587000002,6.0,0.0,4.0,0.0,14.0,2.0
1987-01-10,23.0,3.0,,,,12.121431747,830.2118907,4.0,0.0,6.0,1.0,13.0,2.0
1987-01-11,26.0,3.0,,,,13.163098413,830.2118907,5.0,1.0,8.0,1.0,13.0,1.0
1987-01-12,18.0,2.0,,,,6.07976508,2083.33333338,6.0,0.0,2.0,0.0,10.0,2.0
1987-01-13,25.0,0.0,,,,12.048967978,1530.87232537,10.0,0.0,5.0,0.0,10.0,0.0
1987-01-14,31.0,3.0,,,,12.538098413,1538.54522408,12.0,2.0,4.0,0.0,15.0,1.0
1987-01-15,21.0,2.0,,,,24.4428603179,666.6666667000001,5.0,0.0,6.0,0.0,10.0,2.0
1987-01-16,18.0,4.0,,,,18.3714317465,1012.0300725999999,4.0,0.0,3.0,1.0,11.0,3.0
1987-01-17,35.0,2.0,,,,17.5380984132,1580.21189075,17.0,1.0,10.0,1.0,8.0,0.0
1987-01-18,30.0,3.0,,,,8.788098413,2708.3333334000004,7.0,0.0,4.0,0.0,19.0,3.0
1987-01-19,23.0,3.0,,,,20.2464317465,1246.878557412,6.0,0.0,9.0,2.0,8.0,1.0
1987-01-20,23.0,5.0,,,,16.112659817,1881.74951835,8.0,1.0,3.0,0.0,12.0,4.0
1987-01-21,33.0,1.0,,,,8.996431747,2612.8205864,8.0,0.0,10.0,0.0,15.0,1.0
1987-01-22,24.0,3.0,,,,7.447518702999999,2322.5389920000002,10.0,1.0,6.0,0.0,8.0,2.0
1987-01-23,19.0,1.0,,,,12.121431747,1833.33333338,4.0,0.0,4.0,0.0,11.0,1.0
1987-01-24,23.0,3.0,,,,6.91309841,1496.87855741,6.0,1.0,1.0,1.0,16.0,1.0
1987-01-25,26.0,2.0,,,,7.538098412999999,1541.66666671,9.0,0.0,5.0,0.0,12.0,2.0
1987-01-26,33.0,1.0,,,,5.71744624,2291.6666667,8.0,0.0,4.0,1.0,21.0,0.0
1987-01-27,27.0,3.0,,,,2.61962015,2612.8205864,6.0,0.0,8.0,1.0,13.0,2.0
1987-01-28,16.0,1.0,,,,7.945707109,1913.54522408,2.0,0.0,5.0,0.0,9.0,1.0
1987-01-29,27.0,3.0,,,,6.10952698,1705.21189075,7.0,0.0,6.0,1.0,14.0,2.0
1987-01-30,25.0,4.0,,,,10.038098413,1250.000000046,8.0,2.0,5.0,0.0,12.0,2.0
1987-01-31,19.0,1.0,,,,5.87143175,1830.21189075,5.0,0.0,4.0,1.0,10.0,0.0
1987-02-01,26.0,5.0,,,,4.62143175,2121.87855741,8.0,1.0,7.0,3.0,11.0,1.0
1987-02-02,24.0,2.0,,,,3.99643175,1750.00000005,3.0,0.0,5.0,0.0,16.0,2.0
1987-02-03,34.0,3.0,,,,8.144982471,1391.30434787,11.0,0.0,6.0,1.0,17.0,2.0
1987-02-04,29.0,2.0,,,,7.275417254,2114.2056587,5.0,0.0,8.0,0.0,16.0,2.0
1987-02-05,25.0,3.0,,,,13.788098413,1455.21189075,5.0,0.0,9.0,0.0,11.0,3.0
1987-02-06,29.0,2.0,,,,11.913098413,2489.2056586999997,10.0,0.0,6.0,1.0,13.0,1.0
1987-02-07,19.0,5.0,,,,17.3297650799,2197.5389920000002,6.0,1.0,5.0,2.0,8.0,2.0
1987-02-08,20.0,1.0,,,,17.1214317465,2019.27261206,4.0,1.0,2.0,0.0,14.0,0.0
1987-02-09,27.0,3.0,,,,6.07976508,1996.87855741,7.0,1.0,5.0,0.0,15.0,2.0
1987-02-10,23.0,0.0,,,,5.30324993,1197.538992037,7.0,0.0,6.0,0.0,10.0,0.0
1987-02-11,22.0,0.0,,,,7.5199824710000005,1330.21189075,8.0,0.0,6.0,0.0,8.0,0.0
1987-02-12,19.0,1.0,,,,4.41309841,1083.33333338,1.0,0.0,7.0,1.0,11.0,0.0
1987-02-13,33.0,2.0,,,,15.216669842,602.9391635,12.0,0.0,6.0,2.0,15.0,0.0
1987-02-14,13.0,2.0,,,,9.82976508,697.538992,5.0,0.0,2.0,2.0,6.0,0.0
1987-02-15,19.0,2.0,,,,22.7464317465,322.538992,6.0,0.0,3.0,0.0,10.0,2.0
1987-02-16,21.0,3.0,,,,12.32976508,864.2056587000001,4.0,1.0,6.0,1.0,11.0,1.0
1987-02-17,21.0,2.0,,,,8.807037807,1470.26626476,6.0,0.0,7.0,0.0,8.0,2.0
1987-02-18,24.0,3.0,,,,16.632301312,875.0,5.0,1.0,4.0,0.0,15.0,2.0
1987-02-19,26.0,2.0,,,,18.9330259494,625.0,7.0,0.0,6.0,1.0,13.0,1.0
1987-02-20,33.0,3.0,,,,19.8297650799,621.8785574,11.0,1.0,7.0,0.0,15.0,2.0
1987-02-21,25.0,2.0,,,,14.413098413,905.8723254,10.0,0.0,4.0,0.0,11.0,2.0
1987-02-22,24.0,1.0,,,,16.288098413,916.6666667000002,5.0,0.0,8.0,1.0,11.0,0.0
1987-02-23,20.0,0.0,,,,18.3714317465,739.2056587000001,5.0,0.0,5.0,0.0,10.0,0.0
1987-02-24,23.0,1.0,,,,9.639547689,1364.2056587000002,3.0,0.0,9.0,0.0,11.0,1.0
1987-02-25,18.0,3.0,,,,11.70476508,1197.538992037,7.0,1.0,3.0,1.0,8.0,1.0
1987-02-26,20.0,1.0,,,,11.07976508,1541.66666671,5.0,0.0,5.0,1.0,10.0,0.0
1987-02-27,26.0,1.0,,,,10.663098413,1705.21189075,6.0,0.0,9.0,1.0,11.0,0.0
1987-02-28,30.0,5.0,,,,13.996431747,1580.21189075,11.0,1.0,5.0,0.0,14.0,4.0
1987-03-01,26.0,3.0,,,,19.2047650799,996.8785573999999,9.0,1.0,7.0,0.0,10.0,2.0
1987-03-02,30.0,3.0,,,,14.82976508,833.3333334,7.0,0.0,4.0,0.0,19.0,3.0
1987-03-03,28.0,5.0,,,,10.672156383999999,1525.86406466,8.0,1.0,3.0,0.0,17.0,4.0
1987-03-04,15.0,1.0,,,,8.181214355,1500.00000005,6.0,0.0,4.0,0.0,5.0,1.0
1987-03-05,21.0,2.0,,,,15.246431747,875.0,6.0,1.0,5.0,0.0,10.0,1.0
1987-03-06,22.0,1.0,,,,11.70476508,955.2118906999999,8.0,0.0,1.0,0.0,13.0,1.0
1987-03-07,27.0,2.0,,,,10.663098413,905.8723254,9.0,0.0,6.0,0.0,12.0,2.0
1987-03-08,21.0,1.0,,,,14.20476508,746.8785574,2.0,0.0,8.0,0.0,11.0,1.0
1987-03-09,20.0,4.0,,,,13.371431747,1072.53899204,3.0,0.0,5.0,0.0,12.0,4.0
1987-03-10,26.0,3.0,,,,11.913098413,1134.55971683,10.0,2.0,6.0,1.0,10.0,0.0
1987-03-11,27.0,1.0,,,,13.452953485999998,916.6666667000002,9.0,1.0,6.0,0.0,12.0,0.0
1987-03-12,26.0,3.0,,,,9.413098413,833.3333334,9.0,0.0,6.0,1.0,11.0,2.0
