date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,45.0,6.0,,,,14.390537998,,16.0,1.0,9.0,2.0,20.0,3.0
1987-01-02,48.0,7.0,,,,12.906129368,,18.0,2.0,9.0,2.0,21.0,3.0
1987-01-03,44.0,3.0,,,,11.760646118,,8.0,1.0,13.0,0.0,23.0,2.0
1987-01-04,40.0,3.0,,,,12.773659408,,5.0,0.0,12.0,2.0,23.0,1.0
1987-01-05,32.0,3.0,,,,16.835928297,,6.0,0.0,10.0,1.0,16.0,2.0
1987-01-06,33.0,3.0,,,,11.095018258,,4.0,1.0,7.0,0.0,22.0,2.0
1987-01-07,43.0,4.0,,,,11.138768257999999,,13.0,2.0,10.0,1.0,20.0,1.0
1987-01-08,44.0,4.0,,,,10.632225208,,18.0,0.0,10.0,1.0,16.0,3.0
1987-01-09,32.0,4.0,,,,10.908562788,,8.0,1.0,7.0,1.0,17.0,2.0
1987-01-10,40.0,2.0,,,,14.523424528,,13.0,1.0,8.0,0.0,19.0,1.0
1987-01-11,35.0,2.0,,,,14.109864887999999,,8.0,1.0,6.0,0.0,21.0,1.0
1987-01-12,44.0,1.0,,,,13.130785008,,9.0,0.0,8.0,0.0,27.0,1.0
1987-01-13,33.0,2.0,,,,10.430785007999999,,7.0,1.0,7.0,0.0,19.0,1.0
1987-01-14,45.0,9.0,,,,8.189501778,,12.0,1.0,13.0,3.0,20.0,5.0
1987-01-15,62.0,7.0,,,,15.492240483,,13.0,1.0,18.0,3.0,31.0,3.0
1987-01-16,46.0,7.0,,,,16.563254976,,7.0,1.0,8.0,3.0,31.0,3.0
1987-01-17,36.0,5.0,,,,12.104447428,,6.0,2.0,15.0,1.0,15.0,2.0
1987-01-18,32.0,3.0,,,,14.730090566,,8.0,1.0,9.0,1.0,15.0,1.0
1987-01-19,36.0,2.0,,,,13.143336318,,6.0,0.0,9.0,0.0,21.0,2.0
1987-01-20,31.0,1.0,,,,15.193620926,,5.0,0.0,10.0,1.0,16.0,0.0
1987-01-21,40.0,7.0,,,,13.416023398,,8.0,1.0,11.0,2.0,21.0,4.0
1987-01-22,34.0,3.0,,,,12.318979458,,9.0,0.0,11.0,1.0,14.0,2.0
1987-01-23,44.0,5.0,,,,12.364812788,,8.0,2.0,15.0,0.0,21.0,3.0
1987-01-24,43.0,5.0,,,,15.21828501,,11.0,0.0,12.0,3.0,20.0,2.0
1987-01-25,42.0,7.0,,,,18.692938697,,8.0,0.0,13.0,2.0,21.0,5.0
1987-01-26,31.0,3.0,,,,14.093629368,,6.0,0.0,9.0,1.0,16.0,2.0
1987-01-27,36.0,8.0,,,,11.339812788,,6.0,2.0,11.0,3.0,19.0,3.0
