date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,48.0,2.0,24.595166083000002,,17.216612799,3.658461783,1329.3834739,15.0,1.0,14.0,0.0,19.0,1.0
1987-01-02,48.0,3.0,10.771813649,24.595166083000002,,4.908461783,1535.905213,12.0,1.0,17.0,1.0,19.0,1.0
1987-01-03,53.0,7.0,10.388174589,10.771813649,7.591558332000001,13.825128447,1270.6878217,15.0,0.0,16.0,3.0,22.0,4.0
1987-01-04,38.0,2.0,31.771813648000002,10.388174589,,8.908461783,3290.2530391,14.0,0.0,9.0,1.0,15.0,1.0
1987-01-05,44.0,4.0,31.095166083000002,31.771813648000002,12.216612799000002,7.430200912999999,2959.4455857,7.0,1.0,14.0,1.0,23.0,2.0
1987-01-06,37.0,2.0,53.722943861000005,31.095166083000002,,4.366795113,4240.2530391,7.0,0.0,9.0,0.0,21.0,2.0
1987-01-07,49.0,3.0,14.595166079,53.722943861000005,9.216612799,8.866795113,1575.0356478,8.0,0.0,14.0,2.0,27.0,1.0
1987-01-08,52.0,3.0,8.771813649,14.595166079,,11.116795113,1641.12260429,9.0,0.0,13.0,0.0,30.0,3.0
1987-01-09,46.0,4.0,24.138174585999998,8.771813649,23.591558332399998,4.5751284430000005,1665.09775957,6.0,0.0,16.0,0.0,24.0,4.0
1987-01-10,32.0,2.0,10.771813649,24.138174585999998,,6.158461783,1496.7747782,7.0,0.0,7.0,0.0,18.0,2.0
1987-01-11,40.0,1.0,4.771813648999999,10.771813649,,11.491795113,872.8617347,10.0,0.0,10.0,0.0,20.0,1.0
1987-01-12,47.0,2.0,17.904770869,4.771813648999999,,12.044825417,1701.3296436292999,10.0,1.0,11.0,0.0,26.0,1.0
1987-01-13,46.0,5.0,31.595166083000002,17.904770869,20.2166127986,8.491795113,2322.96054896,11.0,2.0,10.0,0.0,25.0,3.0
1987-01-14,43.0,4.0,28.771813648000002,31.595166083000002,,5.658461783,2237.88149757,9.0,0.0,10.0,0.0,24.0,4.0
1987-01-15,48.0,2.0,16.638174589000002,28.771813648000002,12.591558332,10.491795113,1577.2095608,13.0,1.0,16.0,1.0,19.0,0.0
1987-01-16,50.0,5.0,2.771813649,16.638174589000002,,22.991795114099997,1043.2551095000001,9.0,1.0,14.0,1.0,27.0,3.0
1987-01-17,42.0,3.0,15.095166079,2.771813649,9.216612799,10.783461783,1007.6443434,8.0,1.0,14.0,2.0,20.0,0.0
1987-01-18,36.0,4.0,12.545056629000001,15.095166079,,4.741795113,1172.8617347000002,6.0,0.0,16.0,1.0,14.0,3.0
1987-01-19,45.0,4.0,6.595166079,12.545056629000001,6.216612801,3.533461783,1268.5139086,9.0,0.0,11.0,1.0,25.0,3.0
1987-01-20,50.0,2.0,8.771813649,6.595166079,,11.700128442999999,1750.3979666110001,7.0,0.0,14.0,1.0,29.0,1.0
1987-01-21,47.0,2.0,17.763174589000002,8.771813649,10.591558332,12.995418302000001,1833.73129994,10.0,0.0,8.0,0.0,29.0,2.0
1987-01-22,52.0,2.0,12.771813649,17.763174589000002,,4.7345487330000005,1722.861734727,10.0,0.0,12.0,2.0,30.0,0.0
1987-01-23,37.0,3.0,10.095166079,12.771813649,4.216612801,20.575128447,1037.3027285,5.0,1.0,18.0,0.0,14.0,2.0
1987-01-24,47.0,3.0,15.404770869000002,10.095166079,,15.450128447,,11.0,0.0,15.0,2.0,21.0,1.0
1987-01-25,43.0,2.0,14.095166079,15.404770869000002,6.216612801,19.158461781,,7.0,0.0,10.0,1.0,26.0,1.0
