date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,8.0,1.0,63.330525716000004,,,14.275064925,1819.13248775,1.0,0.0,1.0,1.0,6.0,0.0
1987-01-02,18.0,2.0,15.07634069,63.330525716000004,2.054545455,20.219811305,1972.5341788439998,6.0,1.0,3.0,0.0,9.0,1.0
1987-01-03,12.0,2.0,15.53400958,15.07634069,6.695454545,17.962564925,1277.4658210999999,5.0,0.0,2.0,1.0,5.0,1.0
1987-01-04,15.0,0.0,17.15268139,15.53400958,,35.042693134400004,341.12392239999997,7.0,0.0,2.0,0.0,6.0,0.0
1987-01-05,8.0,0.0,7.83052572,17.15268139,,19.323676045,1773.7273511,3.0,0.0,2.0,0.0,3.0,0.0
1987-01-06,12.0,2.0,23.15268139,7.83052572,,25.390819491,2347.53417884,4.0,0.0,4.0,1.0,4.0,1.0
1987-01-07,9.0,0.0,39.330525716,23.15268139,,20.477776015,2391.48097433,2.0,0.0,1.0,0.0,6.0,0.0
1987-01-08,7.0,0.0,40.576340694,39.330525716,33.054545454,18.861833985,1985.79915442,1.0,0.0,1.0,0.0,5.0,0.0
1987-01-09,6.0,1.0,34.152681388000005,40.576340694,-6.304545455,18.216906445,2652.46582109,3.0,1.0,1.0,0.0,2.0,0.0
1987-01-10,9.0,0.0,56.152681388000005,34.152681388000005,,22.90350065,1860.79915442,1.0,0.0,1.0,0.0,7.0,0.0
1987-01-11,9.0,1.0,78.330525716,56.152681388000005,,25.695167317,2058.147641,1.0,0.0,2.0,0.0,6.0,1.0
1987-01-12,10.0,1.0,92.15268138799999,78.330525716,,16.153500655,3514.2008455,4.0,0.0,1.0,1.0,5.0,0.0
1987-01-13,5.0,0.0,61.830525716000004,92.15268138799999,,14.868362035,3152.4658211,0.0,0.0,2.0,0.0,3.0,0.0
1987-01-14,7.0,0.0,31.076340694000002,61.830525716000004,8.054545454,18.659122905,2027.46582109,2.0,0.0,1.0,0.0,4.0,0.0
1987-01-15,6.0,1.0,23.33052572,31.076340694000002,,28.179956234000002,1127.1035022,3.0,0.0,1.0,0.0,2.0,1.0
1987-01-16,14.0,1.0,25.15268139,23.33052572,,25.545898263,1694.1324877999998,3.0,0.0,3.0,0.0,8.0,1.0
1987-01-17,15.0,0.0,46.508370043999996,25.15268139,34.695454545,19.420898265,2069.13248775,3.0,0.0,2.0,0.0,10.0,0.0
1987-01-18,10.0,2.0,53.152681388000005,46.508370043999996,,19.795898265,1735.7991544,2.0,1.0,6.0,1.0,2.0,0.0
1987-01-19,8.0,1.0,25.83052572,53.152681388000005,,20.879231596,1883.248464559,3.0,0.0,4.0,1.0,1.0,0.0
1987-01-20,8.0,2.0,47.152681388000005,25.83052572,,19.445519475,3152.4658211,1.0,0.0,5.0,2.0,2.0,0.0
1987-01-21,8.0,0.0,75.279824561,47.152681388000005,51.875,18.920898265,4152.4658211,1.0,0.0,4.0,0.0,3.0,0.0
1987-01-22,13.0,1.0,62.152681388000005,75.279824561,,17.111115655,3944.1324878,7.0,0.0,2.0,1.0,4.0,0.0
1987-01-23,10.0,0.0,85.330525716,62.152681388000005,,15.191731595,4139.2008455,4.0,0.0,2.0,0.0,4.0,0.0
1987-01-24,6.0,1.0,46.152681388000005,85.330525716,,16.733398265,2444.13248775,2.0,0.0,1.0,0.0,3.0,1.0
1987-01-25,13.0,2.0,25.33052572,46.152681388000005,,15.462564925,1849.81430766,3.0,0.0,1.0,0.0,9.0,2.0
