date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,29.0,2.0,13.241379313,,,,618.3581425,3.0,0.0,7.0,0.0,19.0,2.0
1987-01-02,17.0,3.0,22.241379313000003,13.241379313,,,1321.5979215999998,3.0,0.0,5.0,1.0,9.0,2.0
1987-01-03,23.0,2.0,15.791570883,22.241379313000003,,,760.1060216,5.0,0.0,6.0,0.0,12.0,2.0
1987-01-04,34.0,5.0,54.099303223999996,15.791570883,,,1550.7645883,10.0,2.0,11.0,1.0,13.0,2.0
1987-01-05,27.0,3.0,56.24137931,54.099303223999996,,,3764.6493057,7.0,1.0,8.0,0.0,12.0,2.0
1987-01-06,16.0,2.0,74.24137931,56.24137931,,,4131.3651585,1.0,0.0,5.0,1.0,10.0,1.0
1987-01-07,30.0,4.0,113.24137931,74.24137931,,,4457.4295047,9.0,0.0,5.0,2.0,16.0,2.0
1987-01-08,27.0,3.0,119.24137931,113.24137931,,,4896.603856600001,8.0,0.0,2.0,0.0,17.0,3.0
1987-01-09,29.0,5.0,72.736015325,119.24137931,,,2914.2455790999998,10.0,1.0,6.0,3.0,13.0,1.0
1987-01-10,30.0,3.0,43.24137931,72.736015325,,,1601.9775637,6.0,0.0,8.0,0.0,16.0,3.0
1987-01-11,31.0,3.0,23.241379313000003,43.24137931,,,860.3108971,9.0,0.0,1.0,0.0,21.0,3.0
1987-01-12,28.0,2.0,17.599303223,23.241379313000003,,,943.6442304,6.0,0.0,10.0,1.0,12.0,1.0
1987-01-13,28.0,3.0,21.241379313,17.599303223,,,1387.891069,9.0,2.0,8.0,0.0,11.0,1.0
1987-01-14,25.0,5.0,22.241379313000003,21.241379313,,,1353.5979705999998,9.0,1.0,5.0,2.0,11.0,2.0
1987-01-15,23.0,2.0,56.884996439,22.241379313000003,,,2243.79108381,7.0,0.0,4.0,1.0,12.0,1.0
1987-01-16,37.0,3.0,64.24137931,56.884996439,,,2554.98685953,10.0,1.0,8.0,2.0,19.0,0.0
1987-01-17,17.0,4.0,66.24137931,64.24137931,,,1857.32824382,4.0,1.0,4.0,1.0,9.0,2.0
1987-01-18,31.0,7.0,35.599303224,66.24137931,,,1318.5866070999998,5.0,0.0,8.0,2.0,18.0,5.0
1987-01-19,35.0,1.0,50.24137931,35.599303224,,,1962.07213765,11.0,0.0,5.0,0.0,19.0,1.0
1987-01-20,26.0,2.0,,50.24137931,,,3269.6501826,9.0,0.0,6.0,0.0,11.0,2.0
1987-01-21,35.0,3.0,119.822204806,,,,4283.6392247,5.0,0.0,12.0,1.0,18.0,2.0
1987-01-22,29.0,1.0,159.24137931299998,119.822204806,,,5203.0004912,7.0,0.0,9.0,0.0,13.0,1.0
1987-01-23,32.0,2.0,45.24137931,159.24137931299998,,,2478.27923878,9.0,0.0,8.0,1.0,15.0,1.0
1987-01-24,25.0,4.0,19.099303223,45.24137931,,,816.4358695000001,5.0,0.0,8.0,2.0,12.0,2.0
1987-01-25,24.0,2.0,26.241379313000003,19.099303223,,,974.7692027999999,6.0,0.0,5.0,0.0,13.0,2.0
1987-01-26,24.0,4.0,38.24137931,26.241379313000003,,,1945.25187378,6.0,0.0,5.0,0.0,13.0,4.0
1987-01-27,28.0,3.0,31.572204806,38.24137931,,,2243.42464297,6.0,0.0,11.0,1.0,11.0,2.0
1987-01-28,25.0,1.0,22.241379313000003,31.572204806,,,738.8336405,7.0,0.0,3.0,0.0,15.0,1.0
1987-01-29,26.0,4.0,33.24137931,22.241379313000003,,,2341.1519157,8.0,1.0,6.0,1.0,12.0,2.0
1987-01-30,13.0,1.0,24.099303223000003,33.24137931,,,1098.7619097000002,4.0,0.0,4.0,0.0,5.0,1.0
1987-01-31,35.0,3.0,14.241379313,24.099303223000003,,,1458.1025362,6.0,0.0,9.0,2.0,20.0,1.0
1987-02-01,29.0,3.0,24.241379313000003,14.241379313,,,808.6519326,8.0,0.0,10.0,1.0,11.0,2.0
1987-02-02,29.0,1.0,40.1123563215,24.241379313000003,,,2566.98526594,6.0,0.0,9.0,1.0,14.0,0.0
1987-02-03,24.0,3.0,41.24137931,40.1123563215,,,2516.98526594,7.0,0.0,5.0,1.0,12.0,2.0
1987-02-04,30.0,4.0,36.24137931,41.24137931,,,2290.4285764,5.0,0.0,6.0,0.0,19.0,4.0
1987-02-05,20.0,2.0,84.099303224,36.24137931,,,3582.5178203,9.0,0.0,4.0,1.0,7.0,1.0
1987-02-06,27.0,2.0,154.24137931299998,84.099303224,,,5985.246868,6.0,0.0,5.0,0.0,16.0,2.0
1987-02-07,24.0,1.0,144.24137931299998,154.24137931299998,,,6164.7641971,5.0,0.0,3.0,0.0,16.0,1.0
1987-02-08,30.0,2.0,110.47220480600001,144.24137931299998,,,4020.2680950999998,6.0,0.0,10.0,1.0,14.0,1.0
1987-02-09,27.0,1.0,101.24137931,110.47220480600001,,,2906.0049318000006,4.0,0.0,7.0,0.0,16.0,1.0
1987-02-10,19.0,1.0,79.24137931,101.24137931,,,3151.6173869000004,4.0,0.0,4.0,1.0,11.0,0.0
1987-02-11,34.0,2.0,39.599303224,79.24137931,,,2086.54414375,10.0,0.0,8.0,1.0,16.0,1.0
1987-02-12,21.0,0.0,64.24137931,39.599303224,,,3036.6628799000005,10.0,0.0,1.0,0.0,10.0,0.0
1987-02-13,25.0,3.0,33.24137931,64.24137931,,,1529.9021949,9.0,0.0,6.0,1.0,10.0,2.0
1987-02-14,22.0,2.0,21.651166763000003,33.24137931,,,1124.1421627,4.0,1.0,7.0,0.0,11.0,1.0
1987-02-15,27.0,2.0,12.241379313,21.651166763000003,,,700.3623625,7.0,0.0,6.0,0.0,14.0,2.0
