date,death,resp,pm10,l1pm10,pm25,o3,co,under65_death,under65_resp,65to74_death,65to74_resp,75p_death,75p_resp
1987-01-01,10.0,0.0,,,,,1785.1153032000002,5.0,0.0,3.0,0.0,2.0,0.0
1987-01-02,8.0,0.0,8.504622252999999,,,,1861.8972731,2.0,0.0,2.0,0.0,4.0,0.0
1987-01-03,11.0,0.0,17.364376983,8.504622252999999,,,1528.5639398,5.0,0.0,1.0,0.0,5.0,0.0
1987-01-04,14.0,1.0,,17.364376983,,,3657.74051,7.0,0.0,1.0,1.0,6.0,0.0
1987-01-05,6.0,1.0,51.5046222522,,,,3570.2306065,1.0,0.0,2.0,1.0,3.0,0.0
1987-01-06,10.0,3.0,45.004622252,51.5046222522,,,3267.90182918,2.0,1.0,2.0,1.0,6.0,1.0
1987-01-07,12.0,2.0,51.5046222522,45.004622252,,,2863.91965107,6.0,0.0,1.0,0.0,5.0,2.0
1987-01-08,8.0,1.0,56.504622252,51.5046222522,,,2029.1197779,3.0,0.0,3.0,0.0,2.0,1.0
1987-01-09,4.0,1.0,102.20349435799999,56.504622252,,,3503.8233663,0.0,0.0,2.0,0.0,2.0,1.0
1987-01-10,5.0,1.0,57.504622252,102.20349435799999,,,2376.73508114,1.0,0.0,2.0,1.0,2.0,0.0
1987-01-11,14.0,0.0,95.504622252,57.504622252,,,3389.47631564,5.0,0.0,5.0,0.0,4.0,0.0
1987-01-12,13.0,4.0,55.5046222522,95.504622252,,,3439.23508114,4.0,2.0,4.0,2.0,5.0,0.0
1987-01-13,9.0,1.0,11.504622252999999,55.5046222522,,,1765.0456096,3.0,0.0,3.0,1.0,3.0,0.0
1987-01-14,11.0,2.0,19.504622253,11.504622252999999,,,1633.2823453,5.0,0.0,3.0,0.0,3.0,2.0
1987-01-15,10.0,1.0,70.16550487800001,19.504622253,,,3708.6450691,5.0,0.0,2.0,0.0,3.0,1.0
1987-01-16,10.0,0.0,92.504622252,70.16550487800001,,,3519.1409312,2.0,0.0,3.0,0.0,5.0,0.0
1987-01-17,13.0,4.0,88.504622252,92.504622252,,,2918.45016683,2.0,0.0,3.0,1.0,8.0,3.0
1987-01-18,8.0,2.0,,88.504622252,,,2047.6881786,3.0,1.0,1.0,1.0,4.0,0.0
1987-01-19,5.0,1.0,64.504622252,,,,2793.45016683,1.0,1.0,3.0,0.0,1.0,0.0
1987-01-20,11.0,2.0,104.504622252,64.504622252,,,3962.8277998999997,5.0,0.0,2.0,0.0,4.0,2.0
1987-01-21,4.0,0.0,114.20349435799999,104.504622252,,,4376.156720800001,1.0,0.0,1.0,0.0,2.0,0.0
1987-01-22,8.0,1.0,139.50462225200002,114.20349435799999,,,4525.1245713,4.0,0.0,1.0,0.0,3.0,1.0
1987-01-23,11.0,0.0,85.504622252,139.50462225200002,,,3642.080942,3.0,0.0,3.0,0.0,5.0,0.0
1987-01-24,8.0,3.0,22.504622253,85.504622252,,,2335.0684145,3.0,0.0,2.0,1.0,3.0,2.0
1987-01-25,7.0,1.0,20.504622253,22.504622253,,,2042.8233874000002,1.0,0.0,2.0,0.0,4.0,1.0
1987-01-26,18.0,0.0,22.504622253,20.504622253,,,3450.4659564000003,2.0,0.0,5.0,0.0,11.0,0.0
1987-01-27,9.0,,20.165504883,22.504622253,,,2400.91517487,5.0,,1.0,0.0,3.0,0.0
1987-01-28,7.0,0.0,,20.165504883,,,1576.7819699000001,2.0,0.0,2.0,0.0,3.0,0.0
1987-01-29,10.0,1.0,54.0046222522,,,,4029.1197779,0.0,0.0,5.0,0.0,5.0,1.0
1987-01-30,10.0,5.0,26.504622253,54.0046222522,,,3549.5916189000004,2.0,0.0,2.0,1.0,6.0,4.0
1987-01-31,9.0,1.0,,26.504622253,,,1940.1172369000003,3.0,0.0,2.0,0.0,4.0,1.0
1987-02-01,8.0,1.0,5.504622253,,,,867.1326229,1.0,0.0,3.0,0.0,4.0,1.0
1987-02-02,6.0,0.0,62.094320487,5.504622253,,,2451.9763156357,2.0,0.0,1.0,0.0,3.0,0.0
1987-02-03,8.0,1.0,37.504622252,62.094320487,,,2924.72774592,2.0,0.0,3.0,0.0,3.0,1.0
1987-02-04,11.0,1.0,45.504622252,37.504622252,,,2509.1703994570003,1.0,0.0,1.0,0.0,9.0,1.0
1987-02-05,6.0,0.0,99.504622252,45.504622252,,,4408.9288536,1.0,0.0,2.0,0.0,3.0,0.0
1987-02-06,9.0,0.0,100.504622252,99.504622252,,,3949.7277458999997,2.0,0.0,3.0,0.0,4.0,0.0
1987-02-07,10.0,1.0,47.5046222522,100.504622252,,,3417.82338743,2.0,0.0,3.0,1.0,5.0,0.0
1987-02-08,12.0,1.0,88.594320487,47.5046222522,,,3306.71227632,2.0,0.0,5.0,0.0,5.0,1.0
1987-02-09,4.0,0.0,99.504622252,88.594320487,,,3473.378943,2.0,0.0,0.0,0.0,2.0,0.0
1987-02-10,9.0,1.0,102.004622252,99.504622252,,,3076.78196991,1.0,0.0,2.0,0.0,6.0,1.0
1987-02-11,10.0,0.0,52.5046222522,102.004622252,,,3060.30964897,5.0,0.0,2.0,0.0,3.0,0.0
1987-02-12,12.0,1.0,48.5046222522,52.5046222522,,,2918.4017478,4.0,0.0,1.0,1.0,7.0,0.0
1987-02-13,7.0,,45.504622252,48.5046222522,,,3793.5960935000003,3.0,,2.0,0.0,2.0,0.0
1987-02-14,8.0,0.0,32.094320483000004,45.504622252,,,2335.0684145,5.0,0.0,1.0,0.0,2.0,0.0
1987-02-15,7.0,1.0,,32.094320483000004,,,1618.4486365999999,1.0,0.0,2.0,1.0,4.0,0.0
1987-02-16,11.0,0.0,6.504622253,,,,1647.5684145,2.0,0.0,5.0,0.0,4.0,0.0
1987-02-17,9.0,1.0,4.504622253,6.504622253,,,1814.2350811000001,1.0,0.0,2.0,1.0,6.0,0.0
1987-02-18,9.0,,40.504622252,4.504622253,,,2404.53251501,2.0,,5.0,0.0,2.0,1.0
1987-02-19,9.0,1.0,90.504622252,40.504622252,,,3376.15672076,2.0,0.0,2.0,1.0,5.0,0.0
1987-02-20,8.0,2.0,60.594320487,90.504622252,,,2303.212475,2.0,0.0,3.0,1.0,3.0,1.0
1987-02-21,10.0,2.0,36.504622252,60.594320487,,,2561.57706752,3.0,0.0,2.0,0.0,5.0,2.0
1987-02-22,10.0,0.0,14.504622252999999,36.504622252,,,1681.7122763,5.0,0.0,1.0,0.0,4.0,0.0
1987-02-23,12.0,0.0,118.504622252,14.504622252999999,,,1843.6165154,2.0,0.0,4.0,0.0,6.0,0.0
1987-02-24,8.0,0.0,56.504622252,118.504622252,,,1522.5684145,2.0,0.0,2.0,0.0,4.0,0.0
1987-02-25,9.0,0.0,95.504622252,56.504622252,,,2243.4486366,5.0,0.0,2.0,0.0,2.0,0.0
1987-02-26,9.0,2.0,86.55633100700001,95.504622252,,,2903.75828554,1.0,0.0,2.0,0.0,6.0,2.0
1987-02-27,8.0,1.0,57.504622252,86.55633100700001,,,2730.9017478,3.0,0.0,1.0,0.0,4.0,1.0
1987-02-28,12.0,0.0,5.504622253,57.504622252,,,1522.5684145,1.0,0.0,3.0,0.0,8.0,0.0
